uuid,number of vertices,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,10,0.24110492303775688,0.08351284576611623,0.14467650958658335,0.08351284576611623
4D721EDD-2FAD-49F4-875C-A0945C9A0471,15,0.44605767438353844,0.12188421449138588,0.23189702017275243,0.12188421449138588
4D721EDD-2FAD-49F4-875C-A0945C9A0471,20,0.341530163866054,0.10832405624756695,0.3141433323917814,0.10832405624756695
4D721EDD-2FAD-49F4-875C-A0945C9A0471,25,0.29883419656781285,0.10254089478881957,0.21896947802804984,0.10254089478881957
4D721EDD-2FAD-49F4-875C-A0945C9A0471,30,0.6398858060230698,0.0988913936902644,0.24362562418716177,0.0988913936902644
3052AEDB-2B8F-4821-A91A-47513BA26DEB,10,0.42914430478711746,0.1172689582281375,0.253886873862036,0.1172689582281375
3052AEDB-2B8F-4821-A91A-47513BA26DEB,15,0.44138576790651995,0.11544848627212405,0.2381623684494273,0.11544848627212405
3052AEDB-2B8F-4821-A91A-47513BA26DEB,20,0.444050431824528,0.11553269317642918,0.2614269969912755,0.11553269317642918
3052AEDB-2B8F-4821-A91A-47513BA26DEB,25,0.4212656325496838,0.12155774069484612,0.29786103008525755,0.12155774069484612
3052AEDB-2B8F-4821-A91A-47513BA26DEB,30,0.368611088554331,0.11340780057553415,0.28095044476818626,0.11340780057553415
B78027F8-1112-454B-BF89-C30F71C6BC55,10,0.24916982506244315,0.10767480243626264,0.16648204353915397,0.10767480243626264
B78027F8-1112-454B-BF89-C30F71C6BC55,15,0.4303464402718629,0.13175905315872688,0.3056029368046245,0.13175905315872688
B78027F8-1112-454B-BF89-C30F71C6BC55,20,0.4679863184438709,0.11222324775485346,0.29265840017912353,0.11222324775485346
B78027F8-1112-454B-BF89-C30F71C6BC55,25,0.3064499091319726,0.10658964163239266,0.2276869672309983,0.10658964163239266
B78027F8-1112-454B-BF89-C30F71C6BC55,30,0.5493705732857891,0.1190703394548574,0.32378611711509114,0.1190703394548574
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,10,0.43321637401139684,0.11212417717415939,0.24172013203851295,0.11212417717415939
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,15,0.5341877542506636,0.1461227377995753,0.2508527408728031,0.1461227377995753
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,20,0.4092044024243207,0.11496318355971198,0.2602418251182585,0.11496318355971198
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,25,0.4710968793702766,0.11745419691999492,0.206882339909437,0.11745419691999492
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,30,0.3522041028996138,0.10919394853358538,0.2817997292412593,0.10919394853358538
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,10,0.2652130510920457,0.1186301517306636,0.2335450952276658,0.1186301517306636
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,15,0.33236586542457397,0.11271372876319562,0.26998082568416,0.11271372876319562
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,20,0.4607203431759648,0.10655173194275543,0.2504066633090156,0.10655173194275543
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,25,0.37920911833847215,0.11996010580848268,0.2552060053932622,0.11996010580848268
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,30,0.40393924914952906,0.10652822015114113,0.2617773668289227,0.10652822015114113
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,10,0.3183340713845076,0.09344033648098136,0.20095456824684052,0.09344033648098136
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,15,0.2986413930684346,0.08587329191490829,0.17211990750190376,0.08587329191490829
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,20,0.4233192005024037,0.10362188790698149,0.19462957167887485,0.10362188790698149
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,25,0.26782581907744246,0.0909262939246454,0.24776898227762215,0.0909262939246454
