uuid,nesting ratio and bias,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.0-0.0,0.8644698065794911,0.09066816427729713,0.15899052105144065,0.09066816427729713
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-0.0,0.7809774334293624,0.13410768785517596,0.3338064150144059,0.13410768785517596
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-0.5,0.516137917658232,0.09486985764703941,0.18824860102364804,0.09486985764703941
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-1.0,0.8728907387598351,0.1109163561801302,0.21541581649107439,0.1109163561801302
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-0.0,0.8325302777031917,0.14382818607311582,0.2931575139029839,0.14382818607311582
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-0.5,0.9083253787386948,0.1432002951908599,0.30210795498518406,0.1432002951908599
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-1.0,0.7179251686817486,0.13815407576340288,0.2777094598840302,0.13815407576340288
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.0-0.0,0.6583631210115786,0.13467395274567132,0.21873663098011456,0.13467395274567132
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-0.0,0.6780958683743032,0.11008467033727606,0.22624835036551333,0.11008467033727606
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-0.5,0.8331032735214406,0.14303457397740252,0.2495859016882322,0.14303457397740252
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-1.0,0.4589525097964112,0.12199616541320284,0.24912098482321504,0.12199616541320284
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-0.0,0.6687532258384811,0.1449202418752176,0.30762340454944315,0.1449202418752176
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-0.5,0.7944227226060879,0.14182235768084442,0.3374464805790448,0.14182235768084442
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-1.0,0.7679481035049673,0.1357735385919828,0.27402203706052924,0.1357735385919828
B78027F8-1112-454B-BF89-C30F71C6BC55,0.0-0.0,0.5259844742688492,0.10307515819843008,0.2218872861617309,0.10307515819843008
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-0.0,0.8340503105539346,0.12775194320698027,0.26769391310299906,0.12775194320698027
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-0.5,0.7939321541556803,0.1280898388909715,0.3428162202994701,0.1280898388909715
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-1.0,0.7913889683797227,0.11633789343532762,0.23745467371726342,0.11633789343532762
B78027F8-1112-454B-BF89-C30F71C6BC55,0.5-0.0,0.7251635815594263,0.15361793198994408,0.3050747865118325,0.15361793198994408
B78027F8-1112-454B-BF89-C30F71C6BC55,0.5-0.5,0.7321096959756823,0.136999199731801,0.36135783004092703,0.136999199731801
B78027F8-1112-454B-BF89-C30F71C6BC55,0.5-1.0,0.7263660099681056,0.10984718440823651,0.2727067714656757,0.10984718440823651
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.0-0.0,0.8089084761128345,0.1030039648983495,0.1855035719618044,0.1030039648983495
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.25-0.0,0.7175726116519989,0.11736756157878768,0.21480053419852427,0.11736756157878768
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.25-0.5,0.4191577103369126,0.13466474273950285,0.23106307910138485,0.13466474273950285
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.25-1.0,0.7755921852075487,0.14377695677429794,0.21216240113908869,0.14377695677429794
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.5-0.0,0.7627998266218747,0.13417407161766162,0.260350658474422,0.13417407161766162
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.5-0.5,0.6159784031420629,0.11981942535234737,0.2323172470013246,0.11981942535234737
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.5-1.0,0.6984828062881535,0.14682768787255182,0.2910535588206879,0.14682768787255182
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.0-0.0,0.7188859811018335,0.10333852038864344,0.19020864407625476,0.10333852038864344
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.25-0.0,0.6830204969083739,0.11239878340890679,0.2720370573562314,0.11239878340890679
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.25-0.5,0.795046696072724,0.12595813378015194,0.2511623731628951,0.12595813378015194
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.25-1.0,0.43366471160605524,0.10550099337868976,0.21982778043073953,0.10550099337868976
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.5-0.0,0.8745965959364757,0.1379491192378356,0.2975802474251973,0.1379491192378356
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.5-0.5,0.8830753183991845,0.12938244812132266,0.3007489464386035,0.12938244812132266
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.5-1.0,0.6675203101924422,0.11864550607310075,0.2976602986652829,0.11864550607310075
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.0-0.0,0.6838928121377438,0.09894104541582628,0.1511654918949213,0.09894104541582628
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.25-0.0,0.8140158898402349,0.1335927585180867,0.2207619263885528,0.1335927585180867
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.25-0.5,0.7544465381917527,0.11615480366593044,0.3047078857374466,0.11615480366593044
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.25-1.0,0.4657286543524856,0.0891528016270561,0.17066757437297128,0.0891528016270561
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.5-0.0,0.5934325832162896,0.12635725340461382,0.2645406643203726,0.12635725340461382
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.5-0.5,0.8226345619403042,0.16107536824704471,0.3415747476875869,0.16107536824704471
