uuid,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,1,0.39575760651363734,0.07592598569161839,0.14056788536982387,0.07592598569161839
4D721EDD-2FAD-49F4-875C-A0945C9A0471,3,0.24110492303775688,0.08351284576611623,0.14467650958658335,0.08351284576611623
4D721EDD-2FAD-49F4-875C-A0945C9A0471,5,0.284381225120909,0.09269594930937748,0.15825934847710746,0.09269594930937748
4D721EDD-2FAD-49F4-875C-A0945C9A0471,7,0.34044531457574073,0.09970162471801343,0.1712462492870664,0.09970162471801343
4D721EDD-2FAD-49F4-875C-A0945C9A0471,11,0.36674489619590095,0.11337016672333249,0.24090086453770304,0.11337016672333249
4D721EDD-2FAD-49F4-875C-A0945C9A0471,21,0.2519270123776839,0.1288743151518269,0.2659975710586483,0.1288743151518269
3052AEDB-2B8F-4821-A91A-47513BA26DEB,1,0.7005530950374648,0.10119813504141706,0.2041315440276916,0.10119813504141706
3052AEDB-2B8F-4821-A91A-47513BA26DEB,3,0.42914430478711746,0.1172689582281375,0.253886873862036,0.1172689582281375
3052AEDB-2B8F-4821-A91A-47513BA26DEB,5,0.2513008159110327,0.117231990016791,0.20131137704050983,0.117231990016791
3052AEDB-2B8F-4821-A91A-47513BA26DEB,7,0.3429061185700417,0.11176538509891615,0.21003728201625926,0.11176538509891615
3052AEDB-2B8F-4821-A91A-47513BA26DEB,11,0.2240824994056807,0.10636020482920965,0.1961918354152427,0.10636020482920965
3052AEDB-2B8F-4821-A91A-47513BA26DEB,21,0.3106416374524893,0.0999000372677659,0.2124025252444107,0.0999000372677659
B78027F8-1112-454B-BF89-C30F71C6BC55,1,0.5139623212348226,0.10255905235800378,0.17249150576122796,0.10255905235800378
B78027F8-1112-454B-BF89-C30F71C6BC55,3,0.24916982506244315,0.10767480243626264,0.16648204353915397,0.10767480243626264
B78027F8-1112-454B-BF89-C30F71C6BC55,5,0.25501542722149473,0.10869790801102598,0.18120723099512853,0.10869790801102598
B78027F8-1112-454B-BF89-C30F71C6BC55,7,0.26746090958707724,0.1251048670657764,0.2827317238528382,0.1251048670657764
