uuid,number of vertices,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,10,0.3070702798411037,0.11612839166253457,0.22809821185408558,0.11612839166253457
4D721EDD-2FAD-49F4-875C-A0945C9A0471,15,0.2600206246218834,0.084480211914167,0.1733197935466936,0.084480211914167
4D721EDD-2FAD-49F4-875C-A0945C9A0471,20,0.4596383230175127,0.10963781211887189,0.2793626251937415,0.10963781211887189
4D721EDD-2FAD-49F4-875C-A0945C9A0471,25,0.47595632577682534,0.11784468835913844,0.3307895112422151,0.11784468835913844
4D721EDD-2FAD-49F4-875C-A0945C9A0471,30,0.6063320544485852,0.11740605077392388,0.33086189127579535,0.11740605077392388
3052AEDB-2B8F-4821-A91A-47513BA26DEB,10,0.2901458085584562,0.10086336011421301,0.18240141349899439,0.10086336011421301
3052AEDB-2B8F-4821-A91A-47513BA26DEB,15,0.44633216143541554,0.12635923293384063,0.24974872493724348,0.12635923293384063
3052AEDB-2B8F-4821-A91A-47513BA26DEB,20,0.3098176460189668,0.10321710528849248,0.24802569856279322,0.10321710528849248
3052AEDB-2B8F-4821-A91A-47513BA26DEB,25,0.49818836217558654,0.11828491892816467,0.2777141448319163,0.11828491892816467
3052AEDB-2B8F-4821-A91A-47513BA26DEB,30,0.4343512976112786,0.13781525736869088,0.32762814829416953,0.13781525736869088
B78027F8-1112-454B-BF89-C30F71C6BC55,10,0.25142267718932915,0.11914656358278831,0.21978547148084782,0.11914656358278831
B78027F8-1112-454B-BF89-C30F71C6BC55,15,0.4010439147673961,0.11979351983899758,0.3335859520959614,0.11979351983899758
B78027F8-1112-454B-BF89-C30F71C6BC55,20,0.3353441072759883,0.11747928421755024,0.20313234449749565,0.11747928421755024
B78027F8-1112-454B-BF89-C30F71C6BC55,25,0.44972483818759995,0.1083251622029706,0.27423041890894645,0.1083251622029706
B78027F8-1112-454B-BF89-C30F71C6BC55,30,0.37334410608057067,0.11305950789242977,0.24741420092808286,0.11305950789242977
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,10,0.2235087592898633,0.09748982840171419,0.20784873557861921,0.09748982840171419
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,15,0.3323560726871085,0.1251423911386902,0.1974971805199242,0.1251423911386902
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,20,0.5205552003411493,0.1037046262406178,0.3482597573122631,0.1037046262406178
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,25,0.353815919696507,0.125352497306461,0.27567007886514694,0.125352497306461
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,30,0.3930475122486231,0.11312103810834641,0.30317428739385527,0.11312103810834641
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,10,0.22035914519461058,0.09803000582883291,0.20360165718745615,0.09803000582883291
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,15,0.32400049935190445,0.12254833702533978,0.26331021051352055,0.12254833702533978
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,20,0.36145343991853335,0.12209836849402142,0.30353948415184895,0.12209836849402142
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,25,0.4044598740768437,0.11940347858325522,0.32203871835894843,0.11940347858325522
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,30,0.33451481260153626,0.1102127682691933,0.23127524284845824,0.1102127682691933
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,10,0.3768055000496919,0.10579917546321317,0.20506086280686014,0.10579917546321317
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,15,0.38120731890171927,0.10273153672527731,0.2718676133263477,0.10273153672527731
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,20,0.4282251600165872,0.1196803954945395,0.21747281883510194,0.1196803954945395
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,25,0.46485490677232,0.11204889994063007,0.25676909676486914,0.11204889994063007
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,30,0.3845045046728237,0.11487428710099083,0.3026150111173681,0.11487428710099083
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,10,0.2937970208809227,0.12445714894551375,0.2513793640506959,0.12445714894551375
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,15,0.23495949956783352,0.13178573049393383,0.28838175050064335,0.13178573049393383
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,20,0.5629893596369769,0.14834707439736058,0.3330093962334208,0.14834707439736058
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,25,0.4475829509641887,0.1356563142271249,0.2556522228411766,0.1356563142271249
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,30,0.46129719255854784,0.11481098380081015,0.25828819089577937,0.11481098380081015
88F1EBAD-5195-4066-986D-8F5C55B30E9F,10,0.33004205146373344,0.10228856673177274,0.20670632000050912,0.10228856673177274
88F1EBAD-5195-4066-986D-8F5C55B30E9F,15,0.29758672390102486,0.1276527108552655,0.342809637298524,0.1276527108552655
88F1EBAD-5195-4066-986D-8F5C55B30E9F,20,0.37698068837218,0.12065266475824857,0.2275369818790403,0.12065266475824857
