uuid,number of vertices,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,10,0.2259529391516872,0.14975551118354744,0.25793388061377387,0.14975551118354744
4D721EDD-2FAD-49F4-875C-A0945C9A0471,15,0.18827118975739324,0.14317830739971113,0.2837617899467355,0.14317830739971113
4D721EDD-2FAD-49F4-875C-A0945C9A0471,20,0.4675868286687545,0.12053460394230729,0.36186468516583703,0.12053460394230729
4D721EDD-2FAD-49F4-875C-A0945C9A0471,25,0.36101605138595544,0.1318355799887431,0.36227760513326,0.1318355799887431
4D721EDD-2FAD-49F4-875C-A0945C9A0471,30,0.49089142174429784,0.14895743740460166,0.3670085062636102,0.14895743740460166
3052AEDB-2B8F-4821-A91A-47513BA26DEB,10,0.2686885783858647,0.12383447087609875,0.3607035407923172,0.12383447087609875
3052AEDB-2B8F-4821-A91A-47513BA26DEB,15,0.29859505613896764,0.11484355339585678,0.2760747572044393,0.11484355339585678
3052AEDB-2B8F-4821-A91A-47513BA26DEB,20,0.38987211497212004,0.1216859561673257,0.3313660508498726,0.1216859561673257
3052AEDB-2B8F-4821-A91A-47513BA26DEB,25,0.42997723275456073,0.13551513376287433,0.38728192285063706,0.13551513376287433
3052AEDB-2B8F-4821-A91A-47513BA26DEB,30,0.3992202086161861,0.13558902024380573,0.38885791622858945,0.13558902024380573
B78027F8-1112-454B-BF89-C30F71C6BC55,10,0.22595181102239315,0.12241609701312063,0.2883148101897606,0.12241609701312063
B78027F8-1112-454B-BF89-C30F71C6BC55,15,0.3275534634835111,0.08952939342402765,0.21516747053924273,0.08952939342402765
B78027F8-1112-454B-BF89-C30F71C6BC55,20,0.28665155029209033,0.13715192396147108,0.32435377463555476,0.13715192396147108
B78027F8-1112-454B-BF89-C30F71C6BC55,25,0.2639999617410965,0.13063965395851718,0.3524428336261501,0.13063965395851718
B78027F8-1112-454B-BF89-C30F71C6BC55,30,0.5368944373993911,0.12322608669125307,0.35916501383088884,0.12322608669125307
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,10,0.10641204461765051,0.14437946073025007,0.2979832096518229,0.14437946073025007
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,15,0.26725064286639155,0.13202288578770566,0.3496223621140321,0.13202288578770566
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,20,0.2926244175854881,0.14680408425498162,0.39488131066507803,0.14680408425498162
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,25,0.3381046012957089,0.1331178856560408,0.43385577934760094,0.1331178856560408
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,30,0.31896551324756733,0.12952007048091116,0.32395793194861805,0.12952007048091116
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,10,0.21896622748076633,0.13016530370361953,0.289149839753183,0.13016530370361953
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,15,0.5145717389102824,0.13871935722898127,0.33317934673200533,0.13871935722898127
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,20,0.3707028113638707,0.12096363423367001,0.3350168646705298,0.12096363423367001
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,25,0.46940101232184434,0.12830395658254964,0.3953977966916504,0.12830395658254964
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,30,0.5222698647916322,0.12575201062278957,0.29477177095576856,0.12575201062278957
