uuid,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,1,0.5585136691783522,0.10944119687220981,0.25205956024390685,0.10944119687220981
4D721EDD-2FAD-49F4-875C-A0945C9A0471,3,0.29883419656781285,0.10254089478881957,0.21896947802804984,0.10254089478881957
4D721EDD-2FAD-49F4-875C-A0945C9A0471,5,0.3368095424076561,0.10177710920219926,0.22586326774373272,0.10177710920219926
4D721EDD-2FAD-49F4-875C-A0945C9A0471,7,0.33115924510841727,0.10582020799429902,0.23664743321266687,0.10582020799429902
4D721EDD-2FAD-49F4-875C-A0945C9A0471,11,0.3142076592834611,0.11065099197602404,0.22781696897385206,0.11065099197602404
4D721EDD-2FAD-49F4-875C-A0945C9A0471,21,0.33358573621952553,0.10751069792876478,0.24288990669223245,0.10751069792876478
3052AEDB-2B8F-4821-A91A-47513BA26DEB,1,0.7829039801913815,0.1228053853665177,0.2954343813848081,0.1228053853665177
3052AEDB-2B8F-4821-A91A-47513BA26DEB,3,0.4212656325496838,0.12155774069484612,0.29786103008525755,0.12155774069484612
3052AEDB-2B8F-4821-A91A-47513BA26DEB,5,0.32990476834112276,0.12691444999953275,0.2942671466227952,0.12691444999953275
3052AEDB-2B8F-4821-A91A-47513BA26DEB,7,0.32022960384286425,0.1316760339811002,0.34457128244921287,0.1316760339811002
3052AEDB-2B8F-4821-A91A-47513BA26DEB,11,0.47159377769981986,0.12650997584164547,0.32178520252978915,0.12650997584164547
3052AEDB-2B8F-4821-A91A-47513BA26DEB,21,0.493602822981678,0.1313980713172298,0.34317109192475,0.1313980713172298
B78027F8-1112-454B-BF89-C30F71C6BC55,1,0.6734209047511905,0.11431474345084341,0.28113390017829043,0.11431474345084341
B78027F8-1112-454B-BF89-C30F71C6BC55,3,0.3064499091319726,0.10658964163239266,0.2276869672309983,0.10658964163239266
B78027F8-1112-454B-BF89-C30F71C6BC55,5,0.302804158425008,0.11330624783614524,0.2702188263043447,0.11330624783614524
B78027F8-1112-454B-BF89-C30F71C6BC55,7,0.32472282428684174,0.11628289284859172,0.28025406794283847,0.11628289284859172
B78027F8-1112-454B-BF89-C30F71C6BC55,11,0.3085710034489634,0.11295502268290664,0.2789546231826092,0.11295502268290664
B78027F8-1112-454B-BF89-C30F71C6BC55,21,0.3152853111834807,0.1202329330879262,0.2969775796450725,0.1202329330879262
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,1,0.8604927602629725,0.11784439289545823,0.22893143258742343,0.11784439289545823
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,3,0.4710968793702766,0.11745419691999492,0.206882339909437,0.11745419691999492
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,5,0.4276915828986141,0.11844874810094325,0.22829116685487585,0.11844874810094325
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,7,0.4087297547440484,0.11227799797492102,0.229433144557811,0.11227799797492102
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,11,0.3753811630818827,0.10712452312625255,0.21775377425291786,0.10712452312625255
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,21,0.393684809000535,0.1052882968036862,0.2643227821086692,0.1052882968036862
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,1,0.8439354548175165,0.12545834066281647,0.2840925550553758,0.12545834066281647
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,3,0.37920911833847215,0.11996010580848268,0.2552060053932622,0.11996010580848268
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,5,0.3928962848990211,0.12006276776484069,0.26592381166804324,0.12006276776484069
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,7,0.35178110410331276,0.12769832992683727,0.2731298026168609,0.12769832992683727
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,11,0.3387768496906489,0.13007737457776394,0.26295523861607006,0.13007737457776394
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,21,0.3764810427515108,0.12271925964557275,0.2907483169474855,0.12271925964557275
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,1,0.8087754399612025,0.09958634294949772,0.19509156518143447,0.09958634294949772
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,3,0.26782581907744246,0.0909262939246454,0.24776898227762215,0.0909262939246454
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,5,0.4037950175389654,0.09362223035901694,0.31328618151695986,0.09362223035901694
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,7,0.3932547782511287,0.1029466132766599,0.34063530609124243,0.1029466132766599
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,11,0.3736720267137611,0.1046596710663251,0.3495224374520481,0.1046596710663251
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,21,0.3179156649439125,0.09352788542039281,0.29834966325247053,0.09352788542039281
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,1,0.7374598156257264,0.12317310558132863,0.2502034018869679,0.12317310558132863
