uuid,nesting ratio and bias,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.0-0.0,0.4099379992325683,0.112647430543698,0.20775069321808348,0.112647430543698
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-0.0,0.3051466008815839,0.10703393476647917,0.2764823916209535,0.10703393476647917
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-0.5,0.3900114324596218,0.1245402229816453,0.35763856937544614,0.1245402229816453
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-1.0,0.40203335694110437,0.11018242899092,0.2787977140504843,0.11018242899092
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-0.0,0.40983262125881176,0.1322468021912165,0.3420232662561135,0.1322468021912165
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-0.5,0.46706623572972994,0.13327027250602824,0.3377798108015605,0.13327027250602824
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-1.0,0.49089142174429784,0.14895743740460166,0.3670085062636102,0.14895743740460166
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.0-0.0,0.4672224791909308,0.09149912671125283,0.19318880297402316,0.09149912671125283
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-0.0,0.4723549881728467,0.12221224431573639,0.20998648589397795,0.12221224431573639
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-0.5,0.4465634530400762,0.1291065482863248,0.28677825039136373,0.1291065482863248
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-1.0,0.4228825003031203,0.11476517031234391,0.22402325250079652,0.11476517031234391
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-0.0,0.38732058361038996,0.15425312669944313,0.396794705476907,0.15425312669944313
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-0.5,0.4218358549013344,0.1315384237504873,0.31692271690243323,0.1315384237504873
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-1.0,0.3992202086161861,0.13558902024380573,0.38885791622858945,0.13558902024380573
B78027F8-1112-454B-BF89-C30F71C6BC55,0.0-0.0,0.5627555537718987,0.11567251490395933,0.24347952004032586,0.11567251490395933
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-0.0,0.42166599452021336,0.12834918394551426,0.3523938810925038,0.12834918394551426
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-0.5,0.4449472170842685,0.12785976842506455,0.2908245932785012,0.12785976842506455
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-1.0,0.4367506797519026,0.12134759970345034,0.4165801066518461,0.12134759970345034
B78027F8-1112-454B-BF89-C30F71C6BC55,0.5-0.0,0.38035427121219817,0.13245043316045865,0.38774963580979305,0.13245043316045865
B78027F8-1112-454B-BF89-C30F71C6BC55,0.5-0.5,0.45957915701552415,0.138253403080629,0.26443217104623234,0.138253403080629
B78027F8-1112-454B-BF89-C30F71C6BC55,0.5-1.0,0.5368944373993911,0.12322608669125307,0.35916501383088884,0.12322608669125307
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.0-0.0,0.4054297663422656,0.0977154143235054,0.238689172383734,0.0977154143235054
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.25-0.0,0.4095165454247275,0.12179662016302811,0.2952960902021534,0.12179662016302811
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.25-0.5,0.359448590082814,0.11508887296076369,0.3473690589095687,0.11508887296076369
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.25-1.0,0.5136318647402395,0.11326584719585434,0.23019591980592183,0.11326584719585434
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.5-0.0,0.5110920400270639,0.13571056867736658,0.3922270525920679,0.13571056867736658
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.5-0.5,0.8041238682516769,0.1392478924827004,0.40433635361585263,0.1392478924827004
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.5-1.0,0.31896551324756733,0.12952007048091116,0.32395793194861805,0.12952007048091116
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.0-0.0,0.34482872283407984,0.10737198719158529,0.2512256818427846,0.10737198719158529
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.25-0.0,0.2656119370355728,0.1159215852075492,0.2741042189790403,0.1159215852075492
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.25-0.5,0.3783546717293794,0.12646186856445524,0.4116219941989066,0.12646186856445524
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.25-1.0,0.30870510839116727,0.11421443116292906,0.2753090483651306,0.11421443116292906
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.5-0.0,0.5225266843269774,0.12912170458491037,0.4316854107698347,0.12912170458491037
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.5-0.5,0.43968565133559406,0.1407238573599525,0.3405875755656473,0.1407238573599525
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.5-1.0,0.5222698647916322,0.12575201062278957,0.29477177095576856,0.12575201062278957
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.0-0.0,0.36930127323090445,0.10650744799897946,0.23861641685703272,0.10650744799897946
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.25-0.0,0.4533638317037262,0.1070377151051606,0.2655392922943467,0.1070377151051606
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.25-0.5,0.4361055475968909,0.11910498961866026,0.24680557246127738,0.11910498961866026
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.25-1.0,0.4007716210717894,0.11246755539864937,0.3066593970129075,0.11246755539864937
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.5-0.0,0.4299099501896341,0.13775416066692903,0.40430315928498944,0.13775416066692903
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.5-0.5,0.5480981870900451,0.12174534734653532,0.43834410557545356,0.12174534734653532
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.5-1.0,0.4486474452617135,0.12052840276792902,0.3431634967987417,0.12052840276792902
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,0.0-0.0,0.31822456549495565,0.09624610515850787,0.21659592089007232,0.09624610515850787
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,0.25-0.0,0.4049379301495802,0.10699544251644227,0.26569209015619544,0.10699544251644227
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,0.25-0.5,0.36734682989213724,0.11610587248654351,0.24065086768326593,0.11610587248654351
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,0.25-1.0,0.418344716984394,0.10730864138062932,0.26736240421725876,0.10730864138062932
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,0.5-0.0,0.4407381737815083,0.12993278829223973,0.41186250209213027,0.12993278829223973
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,0.5-0.5,0.3878252615589739,0.13322964785950672,0.3641662861051197,0.13322964785950672
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,0.5-1.0,0.41680851268602837,0.12069448280723397,0.38513238553193496,0.12069448280723397
88F1EBAD-5195-4066-986D-8F5C55B30E9F,0.0-0.0,0.41462074915085445,0.10248002972384569,0.2513665838589579,0.10248002972384569
88F1EBAD-5195-4066-986D-8F5C55B30E9F,0.25-0.0,0.4053091899677564,0.11724594862330043,0.2747854688114133,0.11724594862330043
88F1EBAD-5195-4066-986D-8F5C55B30E9F,0.25-0.5,0.28145058036567977,0.12650795548569038,0.39337887606202654,0.12650795548569038
88F1EBAD-5195-4066-986D-8F5C55B30E9F,0.25-1.0,0.35486694027474214,0.12177986288738894,0.35875673130892327,0.12177986288738894
88F1EBAD-5195-4066-986D-8F5C55B30E9F,0.5-0.0,0.40847134037398625,0.14408259231242646,0.4311915990038341,0.14408259231242646
