uuid,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,1,0.6560852989726832,0.10245707941135965,0.22463487911083896,0.10245707941135965
4D721EDD-2FAD-49F4-875C-A0945C9A0471,3,0.6398858060230698,0.0988913936902644,0.24362562418716177,0.0988913936902644
4D721EDD-2FAD-49F4-875C-A0945C9A0471,5,0.34064887646843844,0.09908563382512435,0.25983142241694523,0.09908563382512435
4D721EDD-2FAD-49F4-875C-A0945C9A0471,7,0.40656426131958445,0.09961251863585188,0.2524131752235237,0.09961251863585188
4D721EDD-2FAD-49F4-875C-A0945C9A0471,11,0.3817836561749493,0.1033927338447827,0.3227110177557988,0.1033927338447827
4D721EDD-2FAD-49F4-875C-A0945C9A0471,21,0.40203335694110437,0.11018242899092,0.2787977140504843,0.11018242899092
3052AEDB-2B8F-4821-A91A-47513BA26DEB,1,0.49988431265969535,0.11489313786390275,0.24006750122606085,0.11489313786390275
3052AEDB-2B8F-4821-A91A-47513BA26DEB,3,0.368611088554331,0.11340780057553415,0.28095044476818626,0.11340780057553415
3052AEDB-2B8F-4821-A91A-47513BA26DEB,5,0.39716652209543324,0.11002101975301296,0.30501744502562966,0.11002101975301296
3052AEDB-2B8F-4821-A91A-47513BA26DEB,7,0.33546240460237625,0.10884269523210979,0.30851552903271545,0.10884269523210979
3052AEDB-2B8F-4821-A91A-47513BA26DEB,11,0.3959614713301377,0.10777616784237126,0.2863839219849686,0.10777616784237126
3052AEDB-2B8F-4821-A91A-47513BA26DEB,21,0.4228825003031203,0.11476517031234391,0.22402325250079652,0.11476517031234391
B78027F8-1112-454B-BF89-C30F71C6BC55,1,0.8389210778625943,0.12622788456828554,0.2864711492090583,0.12622788456828554
B78027F8-1112-454B-BF89-C30F71C6BC55,3,0.5493705732857891,0.1190703394548574,0.32378611711509114,0.1190703394548574
B78027F8-1112-454B-BF89-C30F71C6BC55,5,0.41392876707895393,0.11938851597812075,0.32645513921771996,0.11938851597812075
B78027F8-1112-454B-BF89-C30F71C6BC55,7,0.28928647402488095,0.1131647017698465,0.2954244349964409,0.1131647017698465
B78027F8-1112-454B-BF89-C30F71C6BC55,11,0.41720392273104445,0.11200971359276045,0.2722758111522432,0.11200971359276045
B78027F8-1112-454B-BF89-C30F71C6BC55,21,0.4367506797519026,0.12134759970345034,0.4165801066518461,0.12134759970345034
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,1,0.9160504325763024,0.12277214687325175,0.28773824652601393,0.12277214687325175
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,3,0.3522041028996138,0.10919394853358538,0.2817997292412593,0.10919394853358538
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,5,0.4005296652686655,0.10638941197243468,0.23775422183356565,0.10638941197243468
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,7,0.37145960414055823,0.11117245115945944,0.24496816554096268,0.11117245115945944
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,11,0.4887710491313389,0.11111698212150169,0.25208832285553795,0.11111698212150169
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,21,0.5136318647402395,0.11326584719585434,0.23019591980592183,0.11326584719585434
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,1,0.8127313032169825,0.10840037577119936,0.2697977008476595,0.10840037577119936
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,3,0.40393924914952906,0.10652822015114113,0.2617773668289227,0.10652822015114113
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,5,0.36721507664625425,0.10174449060887533,0.2289402521387503,0.10174449060887533
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,7,0.3753984125398177,0.10975281668313769,0.24751807970449596,0.10975281668313769
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,11,0.3876542940955364,0.11608104769130527,0.26079029297781176,0.11608104769130527
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,21,0.30870510839116727,0.11421443116292906,0.2753090483651306,0.11421443116292906
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,1,0.7125305787040729,0.11097683589219966,0.2226823924673413,0.11097683589219966
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,3,0.36440294316677757,0.11141466866812733,0.252711939522908,0.11141466866812733
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,5,0.36322251729478694,0.11405110166830984,0.2679474482557615,0.11405110166830984
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,7,0.36780856742619966,0.11540936600502687,0.23604774486513086,0.11540936600502687
