uuid,number of vertices,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,10,0.289343585447142,0.12847733216724794,0.2527866396667626,0.12847733216724794
4D721EDD-2FAD-49F4-875C-A0945C9A0471,15,0.3809966009163742,0.13673977858147607,0.2908334269646289,0.13673977858147607
4D721EDD-2FAD-49F4-875C-A0945C9A0471,20,0.344665130227268,0.1278555611118375,0.3489713842702603,0.1278555611118375
4D721EDD-2FAD-49F4-875C-A0945C9A0471,25,0.3966719627235053,0.14436417974513652,0.2981863161185832,0.14436417974513652
4D721EDD-2FAD-49F4-875C-A0945C9A0471,30,0.33793944793481934,0.13697735171789835,0.31329397249213575,0.13697735171789835
3052AEDB-2B8F-4821-A91A-47513BA26DEB,10,0.3856542659187875,0.12885778763490807,0.21729201326110667,0.12885778763490807
3052AEDB-2B8F-4821-A91A-47513BA26DEB,15,0.3515076520606409,0.11368797682148175,0.2518582425591793,0.11368797682148175
3052AEDB-2B8F-4821-A91A-47513BA26DEB,20,0.2606890622924887,0.1357050814749799,0.29390762140243576,0.1357050814749799
3052AEDB-2B8F-4821-A91A-47513BA26DEB,25,0.4536251442040531,0.14122167180826709,0.29263004256683195,0.14122167180826709
3052AEDB-2B8F-4821-A91A-47513BA26DEB,30,0.3519892006910471,0.12499276951142392,0.28553824845970455,0.12499276951142392
B78027F8-1112-454B-BF89-C30F71C6BC55,10,0.2357202832636496,0.10369616703928501,0.20213940600498223,0.10369616703928501
B78027F8-1112-454B-BF89-C30F71C6BC55,15,0.34198802586483723,0.10991100036754022,0.22237078054106646,0.10991100036754022
B78027F8-1112-454B-BF89-C30F71C6BC55,20,0.3092322019181988,0.12036355336234049,0.34187326867683854,0.12036355336234049
B78027F8-1112-454B-BF89-C30F71C6BC55,25,0.36046297741430056,0.12388438644927365,0.26865045971264984,0.12388438644927365
B78027F8-1112-454B-BF89-C30F71C6BC55,30,0.32668032991111023,0.12261849512321923,0.35070635974019226,0.12261849512321923
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,10,0.21504541329422183,0.12887216993425327,0.3183526450945995,0.12887216993425327
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,15,0.19581965411141777,0.12343979407996614,0.29535328566909613,0.12343979407996614
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,20,0.33347604397228775,0.13950000867472914,0.3093843060945907,0.13950000867472914
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,25,0.45381086452245695,0.14345512269672667,0.30445364613314857,0.14345512269672667
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,30,0.3807465878247253,0.12708134989092024,0.35492576119175023,0.12708134989092024
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,10,0.25784915752590376,0.13235463192897387,0.24154376031178132,0.13235463192897387
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,15,0.3230379863201609,0.11422487335694484,0.2333412457477987,0.11422487335694484
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,20,0.41718414583118585,0.1308055147190937,0.2635324716242544,0.1308055147190937
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,25,0.23661904315119284,0.12259289733064231,0.31749646875097,0.12259289733064231
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,30,0.3268611109807744,0.1262895921408236,0.28126994500893404,0.1262895921408236
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,10,0.3417941323919082,0.12476955826951766,0.21666466732128684,0.12476955826951766
