uuid,number of vertices,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,10,0.3602260409022446,0.12806438460942365,0.290563205382833,0.12806438460942365
4D721EDD-2FAD-49F4-875C-A0945C9A0471,15,0.3034982040191715,0.1370975778848786,0.336929905042397,0.1370975778848786
4D721EDD-2FAD-49F4-875C-A0945C9A0471,20,0.46355104201038866,0.13155948621582256,0.339858152873501,0.13155948621582256
4D721EDD-2FAD-49F4-875C-A0945C9A0471,25,0.35672848351167574,0.14055773697055984,0.3645402748087786,0.14055773697055984
4D721EDD-2FAD-49F4-875C-A0945C9A0471,30,0.37681294718258573,0.14167297838057394,0.311133983671526,0.14167297838057394
3052AEDB-2B8F-4821-A91A-47513BA26DEB,10,0.2592187310228645,0.14547917710732097,0.30640663207212565,0.14547917710732097
3052AEDB-2B8F-4821-A91A-47513BA26DEB,15,0.28279023901782835,0.12520033517872176,0.26396815452299316,0.12520033517872176
3052AEDB-2B8F-4821-A91A-47513BA26DEB,20,0.306913426959483,0.1431782316528334,0.32656058824431766,0.1431782316528334
3052AEDB-2B8F-4821-A91A-47513BA26DEB,25,0.30276732984679666,0.14255224181283402,0.38006918590566524,0.14255224181283402
3052AEDB-2B8F-4821-A91A-47513BA26DEB,30,0.39649224199455213,0.12287997333541771,0.28898233224500935,0.12287997333541771
B78027F8-1112-454B-BF89-C30F71C6BC55,10,0.20629760120150767,0.08792917008872125,0.17076472090666484,0.08792917008872125
B78027F8-1112-454B-BF89-C30F71C6BC55,15,0.21922517926855137,0.11017628661842029,0.23363644552211665,0.11017628661842029
B78027F8-1112-454B-BF89-C30F71C6BC55,20,0.5050594363657512,0.12575663845125565,0.3445231508316497,0.12575663845125565
B78027F8-1112-454B-BF89-C30F71C6BC55,25,0.4465811377669464,0.12136010892329178,0.2658733219656161,0.12136010892329178
B78027F8-1112-454B-BF89-C30F71C6BC55,30,0.4243108127304249,0.1288425920542339,0.34994492718910786,0.1288425920542339
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,10,0.11230654241302104,0.12997532881634347,0.289460866036746,0.12997532881634347
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,15,0.15604051282143264,0.13319065789037637,0.36417838979051576,0.13319065789037637
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,20,0.3584583465760107,0.14433404749153228,0.3420649352599201,0.14433404749153228
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,25,0.36132259417420004,0.1335179019372042,0.3099472575714173,0.1335179019372042
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,30,0.40347563566479583,0.12182127237549407,0.36054293918145075,0.12182127237549407
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,10,0.1842587060403999,0.12931208100217548,0.21922907170015601,0.12931208100217548
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,15,0.33872300562891633,0.10596078732377207,0.20190333112198827,0.10596078732377207
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,20,0.3299862567777855,0.12721485332603666,0.28029641676408545,0.12721485332603666
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,25,0.2861603951308441,0.1195948997020181,0.38658523255577554,0.1195948997020181
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,30,0.34822400073498083,0.12451380264851988,0.32710883676493396,0.12451380264851988
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,10,0.19739985647185826,0.11094978615054103,0.19944301407960457,0.11094978615054103
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,15,0.18247390731986826,0.14200633242801206,0.3426077792796076,0.14200633242801206
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,20,0.23996106916867882,0.12108574554611778,0.3399932501922126,0.12108574554611778
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,25,0.38407680476555034,0.12069425835708372,0.3950330708926698,0.12069425835708372
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,30,0.37902891283127776,0.12211708023556522,0.30873709845091807,0.12211708023556522
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,10,0.20482859883265128,0.1085319507860721,0.2048506299687562,0.1085319507860721
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,15,0.35970300567371527,0.1432672377615283,0.37124678972708636,0.1432672377615283
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,20,0.32606582720917493,0.11676170534080414,0.2712154498441958,0.11676170534080414
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,25,0.3643311989774857,0.12086769121029393,0.27416189750655695,0.12086769121029393
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,30,0.38231127930115794,0.12896486342030516,0.34844023483539244,0.12896486342030516
88F1EBAD-5195-4066-986D-8F5C55B30E9F,10,0.20885178327983567,0.1454085579422524,0.3207189022130585,0.1454085579422524
88F1EBAD-5195-4066-986D-8F5C55B30E9F,15,0.27941890352717197,0.10627693521187376,0.21881702996469685,0.10627693521187376
88F1EBAD-5195-4066-986D-8F5C55B30E9F,20,0.3262499517327617,0.15206672255610065,0.3809519707038588,0.15206672255610065
88F1EBAD-5195-4066-986D-8F5C55B30E9F,25,0.28298376898536287,0.1284449863090458,0.40421481301606205,0.1284449863090458
88F1EBAD-5195-4066-986D-8F5C55B30E9F,30,0.4055989245573423,0.12953068657154512,0.351413945986887,0.12953068657154512
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.29186712829523925,0.13473614060472205,0.24119175518844188,0.13473614060472205
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.30374837519374964,0.11766599136384842,0.27504441447927097,0.11766599136384842
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.2864830886528336,0.12681069293350045,0.29132388279644195,0.12681069293350045
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.35224936210610047,0.11338078312469724,0.3180350105308676,0.11338078312469724
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.29939464840045665,0.13117739521750557,0.3487589833258673,0.13117739521750557
0193712D-1640-404A-A12D-D4E5B546EA54,10,0.21222032471786823,0.11387379905138156,0.2615856904829892,0.11387379905138156
0193712D-1640-404A-A12D-D4E5B546EA54,15,0.193605135614839,0.11626795005374077,0.29756622169617225,0.11626795005374077
0193712D-1640-404A-A12D-D4E5B546EA54,20,0.19115461469593537,0.12766818123715648,0.35599391093125,0.12766818123715648
0193712D-1640-404A-A12D-D4E5B546EA54,25,0.347396761101566,0.13032416920656906,0.3103788182702284,0.13032416920656906
0193712D-1640-404A-A12D-D4E5B546EA54,30,0.410975326814935,0.14076622728772256,0.3602814840118845,0.14076622728772256
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.2587250496066025,0.09722766302519951,0.1666087695953245,0.09722766302519951
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.266602305372458,0.12199647945618129,0.2709034311994267,0.12199647945618129
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.28415948936390756,0.13354411834729446,0.3300822233740455,0.13354411834729446
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.5025515342165058,0.13512751344976792,0.36701499503051627,0.13512751344976792
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.35754421243250534,0.1286314819558256,0.36932438612405916,0.1286314819558256
BA5C1BDF-5737-4AB3-985F-84FF834B8FCB,10,0.21612746403328503,0.12088309881880398,0.21100810122638092,0.12088309881880398
BA5C1BDF-5737-4AB3-985F-84FF834B8FCB,15,0.3140040613107619,0.12398207375794805,0.4146372313907205,0.12398207375794805
BA5C1BDF-5737-4AB3-985F-84FF834B8FCB,20,0.3290285630667063,0.11166140787920102,0.3414001102639731,0.11166140787920102
BA5C1BDF-5737-4AB3-985F-84FF834B8FCB,25,0.2879127651232916,0.13338053351821533,0.30695139782872194,0.13338053351821533
BA5C1BDF-5737-4AB3-985F-84FF834B8FCB,30,0.3621390948254784,0.13044891388808164,0.3306854600327598,0.13044891388808164
2886E716-6F57-4E8A-B53F-7103ACB7161D,10,0.21735718241314783,0.11267837572250168,0.31793078003035,0.11267837572250168
2886E716-6F57-4E8A-B53F-7103ACB7161D,15,0.3424128829878326,0.120395101987128,0.31113567782128293,0.120395101987128
2886E716-6F57-4E8A-B53F-7103ACB7161D,20,0.24147339450594862,0.12935706452736934,0.2460249516325798,0.12935706452736934
2886E716-6F57-4E8A-B53F-7103ACB7161D,25,0.4286319595554923,0.12940403968595982,0.29152429067785984,0.12940403968595982
2886E716-6F57-4E8A-B53F-7103ACB7161D,30,0.4591975926878065,0.130185239669474,0.3247445628569298,0.130185239669474
DD20AE4C-5A31-4570-8795-DE91A8DE0921,10,0.35552922068786375,0.14358344393294104,0.3287266182149383,0.14358344393294104
DD20AE4C-5A31-4570-8795-DE91A8DE0921,15,0.27059208064108187,0.12861442507015436,0.2934601808486036,0.12861442507015436
DD20AE4C-5A31-4570-8795-DE91A8DE0921,20,0.36487388638836393,0.12242391749727363,0.310650957537177,0.12242391749727363
DD20AE4C-5A31-4570-8795-DE91A8DE0921,25,0.4034808209976825,0.13300518193337157,0.410571954514397,0.13300518193337157
DD20AE4C-5A31-4570-8795-DE91A8DE0921,30,0.4003322871688993,0.13445162321102874,0.4068860852291635,0.13445162321102874
33E80DFD-9C63-476A-8236-0B098791DD4B,10,0.15690137319210898,0.11240027837447022,0.23500600553689213,0.11240027837447022
33E80DFD-9C63-476A-8236-0B098791DD4B,15,0.25403532219110775,0.12321373362713225,0.2985058272238724,0.12321373362713225
33E80DFD-9C63-476A-8236-0B098791DD4B,20,0.47603547838227117,0.14179460858076426,0.31512407580966645,0.14179460858076426
33E80DFD-9C63-476A-8236-0B098791DD4B,25,0.3471352902657552,0.12793335264967623,0.36391204857958015,0.12793335264967623
33E80DFD-9C63-476A-8236-0B098791DD4B,30,0.4756800780722434,0.13438135444966087,0.35035345622639347,0.13438135444966087
2C38D3D3-1411-4EAB-B1A1-6FE6CA06E6DD,10,0.3602685015363086,0.11285365253541652,0.26506423677919,0.11285365253541652
2C38D3D3-1411-4EAB-B1A1-6FE6CA06E6DD,15,0.3245379411893224,0.15223837330173098,0.38421209205640816,0.15223837330173098
2C38D3D3-1411-4EAB-B1A1-6FE6CA06E6DD,20,0.33285853268062965,0.13119199236140577,0.28432615702370273,0.13119199236140577
2C38D3D3-1411-4EAB-B1A1-6FE6CA06E6DD,25,0.3538121366423547,0.14647861000803974,0.4270135845562911,0.14647861000803974
2C38D3D3-1411-4EAB-B1A1-6FE6CA06E6DD,30,0.32358559926730857,0.12268826622722502,0.34367124254743653,0.12268826622722502
929FBCAD-3B11-464C-82C3-1FEB4D11ABF9,10,0.2015317788000298,0.11887419347172094,0.19091842975772927,0.11887419347172094
