uuid,number of vertices,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,10,0.3329807645038637,0.11579403069041508,0.24567305029720382,0.11579403069041508
4D721EDD-2FAD-49F4-875C-A0945C9A0471,15,0.48042053237546906,0.1232054446407329,0.2890626534515161,0.1232054446407329
4D721EDD-2FAD-49F4-875C-A0945C9A0471,20,0.5630333668833479,0.12471552038991068,0.3012862247476789,0.12471552038991068
4D721EDD-2FAD-49F4-875C-A0945C9A0471,25,0.33932589184687206,0.12639608222244175,0.3098755174275866,0.12639608222244175
4D721EDD-2FAD-49F4-875C-A0945C9A0471,30,0.3051466008815839,0.10703393476647917,0.2764823916209535,0.10703393476647917
3052AEDB-2B8F-4821-A91A-47513BA26DEB,10,0.1834605912182167,0.1292889485470697,0.25975967555429,0.1292889485470697
3052AEDB-2B8F-4821-A91A-47513BA26DEB,15,0.24772298086271644,0.09299840455853342,0.20223423344979666,0.09299840455853342
3052AEDB-2B8F-4821-A91A-47513BA26DEB,20,0.3946065748496358,0.1513504629060552,0.37523874267471136,0.1513504629060552
3052AEDB-2B8F-4821-A91A-47513BA26DEB,25,0.48652605101377916,0.11675318206460782,0.2951467931067817,0.11675318206460782
3052AEDB-2B8F-4821-A91A-47513BA26DEB,30,0.4723549881728467,0.12221224431573639,0.20998648589397795,0.12221224431573639
B78027F8-1112-454B-BF89-C30F71C6BC55,10,0.2564902918842866,0.11982334431585953,0.36121841073570393,0.11982334431585953
B78027F8-1112-454B-BF89-C30F71C6BC55,15,0.37973205579624414,0.127178386195311,0.25141877779250993,0.127178386195311
B78027F8-1112-454B-BF89-C30F71C6BC55,20,0.350685562193955,0.1328517534555845,0.28559383000494826,0.1328517534555845
B78027F8-1112-454B-BF89-C30F71C6BC55,25,0.36834122666062624,0.13165921081632292,0.32712809347601224,0.13165921081632292
B78027F8-1112-454B-BF89-C30F71C6BC55,30,0.42166599452021336,0.12834918394551426,0.3523938810925038,0.12834918394551426
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,10,0.13222291634749914,0.12164133003490463,0.2995124697980393,0.12164133003490463
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,15,0.24505325295102387,0.13589418552892737,0.2948176165753069,0.13589418552892737
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,20,0.38015666737804776,0.12397446063201167,0.2592423559434244,0.12397446063201167
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,25,0.38184361274000284,0.12702252628829502,0.35404120848954235,0.12702252628829502
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,30,0.4095165454247275,0.12179662016302811,0.2952960902021534,0.12179662016302811
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,10,0.3502511996110929,0.10873515005955828,0.22238302533853338,0.10873515005955828
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,15,0.20507987207650155,0.11226916391215913,0.301003845814227,0.11226916391215913
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,20,0.3120514752682409,0.1224785264856452,0.3394883428422105,0.1224785264856452
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,25,0.4238243005570321,0.11767895601662864,0.4466501123245487,0.11767895601662864
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,30,0.2656119370355728,0.1159215852075492,0.2741042189790403,0.1159215852075492
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,10,0.33064624916812907,0.1113180024097485,0.24797528127941337,0.1113180024097485
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,15,0.25489972130356,0.13964025339763803,0.3544099505849203,0.13964025339763803
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,20,0.2699858110693095,0.11696419775609218,0.30663562367086544,0.11696419775609218
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,25,0.36155726633911,0.11493516891744558,0.2563546500279015,0.11493516891744558
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,30,0.4533638317037262,0.1070377151051606,0.2655392922943467,0.1070377151051606
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,10,0.30582374545266866,0.12961219030286164,0.3056955026675584,0.12961219030286164
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,15,0.301199955831487,0.11421757159870694,0.21582487433769998,0.11421757159870694
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,20,0.7181077931084948,0.13359939871499402,0.3321925618296394,0.13359939871499402
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,25,0.36566350173940687,0.11773605211031031,0.2995884000129536,0.11773605211031031
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,30,0.4049379301495802,0.10699544251644227,0.26569209015619544,0.10699544251644227
88F1EBAD-5195-4066-986D-8F5C55B30E9F,10,0.3295324246561818,0.09223076014226571,0.23832957195335847,0.09223076014226571
88F1EBAD-5195-4066-986D-8F5C55B30E9F,15,0.4335305859672836,0.1354887048061632,0.3065830961522885,0.1354887048061632
88F1EBAD-5195-4066-986D-8F5C55B30E9F,20,0.3152177448506986,0.10325170733615756,0.19011123635125288,0.10325170733615756
88F1EBAD-5195-4066-986D-8F5C55B30E9F,25,0.3847936449319522,0.120948010123756,0.37897501426343216,0.120948010123756
88F1EBAD-5195-4066-986D-8F5C55B30E9F,30,0.4053091899677564,0.11724594862330043,0.2747854688114133,0.11724594862330043
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.4057968331205023,0.12512411720565192,0.3599594318362767,0.12512411720565192
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.34333434127290396,0.1253909065122431,0.31541870844044745,0.1253909065122431
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.3364707340847081,0.13409800968965008,0.31139584513097196,0.13409800968965008
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.4247802249183675,0.13623308082636112,0.3856601412639445,0.13623308082636112
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.48275552611745887,0.10466034541756644,0.27301951951997894,0.10466034541756644
0193712D-1640-404A-A12D-D4E5B546EA54,10,0.2844054640919289,0.11480281120753655,0.2353334049181332,0.11480281120753655
0193712D-1640-404A-A12D-D4E5B546EA54,15,0.3636229132105339,0.13972829241596454,0.39326993459800785,0.13972829241596454
0193712D-1640-404A-A12D-D4E5B546EA54,20,0.34014854494571395,0.13468741902328332,0.426132170100336,0.13468741902328332
0193712D-1640-404A-A12D-D4E5B546EA54,25,0.356587037490386,0.11607800942337429,0.2940154074737407,0.11607800942337429
0193712D-1640-404A-A12D-D4E5B546EA54,30,0.46192762110630814,0.1268710242304065,0.4457726245782896,0.1268710242304065
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.36122819612678664,0.11247572673999966,0.2203293841016496,0.11247572673999966
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.3283365259098257,0.09655362343477229,0.14741875504297816,0.09655362343477229
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.41538916221190614,0.14774302059305078,0.41434329968621064,0.14774302059305078
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.304213672519874,0.12325567537178973,0.3182023615324689,0.12325567537178973
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.4786889166009707,0.11589178159022887,0.26426391816678535,0.11589178159022887
BA5C1BDF-5737-4AB3-985F-84FF834B8FCB,10,0.18341783571890577,0.1047416783394158,0.1946349813535097,0.1047416783394158
BA5C1BDF-5737-4AB3-985F-84FF834B8FCB,15,0.4835366576895413,0.1427265508433911,0.35598102579740565,0.1427265508433911
BA5C1BDF-5737-4AB3-985F-84FF834B8FCB,20,0.3822014422865574,0.11496818018076285,0.2984907313134549,0.11496818018076285
BA5C1BDF-5737-4AB3-985F-84FF834B8FCB,25,0.31262867122633886,0.12838156376476,0.40263839916264377,0.12838156376476
BA5C1BDF-5737-4AB3-985F-84FF834B8FCB,30,0.37552933582960124,0.1287025996149638,0.317619863650044,0.1287025996149638
2886E716-6F57-4E8A-B53F-7103ACB7161D,10,0.2399483624332239,0.11130008544000783,0.19847981814554475,0.11130008544000783
2886E716-6F57-4E8A-B53F-7103ACB7161D,15,0.3124371155457592,0.10581762243112405,0.20696452879082333,0.10581762243112405
2886E716-6F57-4E8A-B53F-7103ACB7161D,20,0.3217559432762491,0.11184680467963327,0.2820734402946631,0.11184680467963327
2886E716-6F57-4E8A-B53F-7103ACB7161D,25,0.380674725595298,0.1267756833119453,0.29242792894661634,0.1267756833119453
2886E716-6F57-4E8A-B53F-7103ACB7161D,30,0.4579116068495895,0.12858203250850528,0.32621405021518235,0.12858203250850528
DD20AE4C-5A31-4570-8795-DE91A8DE0921,10,0.2539293317205806,0.10868369217444368,0.27581803285257994,0.10868369217444368
DD20AE4C-5A31-4570-8795-DE91A8DE0921,15,0.35323939979451974,0.14617480773871153,0.31406985217153394,0.14617480773871153
DD20AE4C-5A31-4570-8795-DE91A8DE0921,20,0.3344102416935452,0.1404680193961222,0.3466560740226182,0.1404680193961222
DD20AE4C-5A31-4570-8795-DE91A8DE0921,25,0.33495272997519804,0.13280328995203733,0.3895177479778828,0.13280328995203733
DD20AE4C-5A31-4570-8795-DE91A8DE0921,30,0.34871783710885995,0.12147648479609484,0.377769889956012,0.12147648479609484
