uuid,number of vertices,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,10,0.31684857486176793,0.10062697605100057,0.17830815903364,0.10062697605100057
4D721EDD-2FAD-49F4-875C-A0945C9A0471,15,0.7809774334293624,0.13410768785517596,0.3338064150144059,0.13410768785517596
4D721EDD-2FAD-49F4-875C-A0945C9A0471,20,0.5866879758822776,0.11676018788070579,0.28902168092577446,0.11676018788070579
4D721EDD-2FAD-49F4-875C-A0945C9A0471,25,0.642331988297768,0.11234915679410258,0.24569137609922742,0.11234915679410258
4D721EDD-2FAD-49F4-875C-A0945C9A0471,30,0.7053309430248653,0.12145785737996175,0.24980004455024432,0.12145785737996175
3052AEDB-2B8F-4821-A91A-47513BA26DEB,10,0.4729979667218712,0.11491468365850496,0.19797248039101198,0.11491468365850496
3052AEDB-2B8F-4821-A91A-47513BA26DEB,15,0.6780958683743032,0.11008467033727606,0.22624835036551333,0.11008467033727606
3052AEDB-2B8F-4821-A91A-47513BA26DEB,20,0.8114405737214372,0.125983093692329,0.28632236865348293,0.125983093692329
3052AEDB-2B8F-4821-A91A-47513BA26DEB,25,0.92519495357519,0.10672328863339407,0.23034015466749747,0.10672328863339407
3052AEDB-2B8F-4821-A91A-47513BA26DEB,30,0.8202946153106152,0.11883449599177871,0.26388215105745316,0.11883449599177871
B78027F8-1112-454B-BF89-C30F71C6BC55,10,0.5154225027916773,0.0930144220565193,0.15598338319759514,0.0930144220565193
B78027F8-1112-454B-BF89-C30F71C6BC55,15,0.8340503105539346,0.12775194320698027,0.26769391310299906,0.12775194320698027
B78027F8-1112-454B-BF89-C30F71C6BC55,20,0.6649431702636822,0.12183743841674755,0.2481188865828376,0.12183743841674755
B78027F8-1112-454B-BF89-C30F71C6BC55,25,0.8559151085130876,0.12715330695874794,0.23415906957437194,0.12715330695874794
B78027F8-1112-454B-BF89-C30F71C6BC55,30,0.7738868977326191,0.12837701399808074,0.3215774637593459,0.12837701399808074
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,10,0.4795981400727212,0.11455785538994143,0.2254228031601074,0.11455785538994143
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,15,0.7175726116519989,0.11736756157878768,0.21480053419852427,0.11736756157878768
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,20,0.8807925700595807,0.13929617918626339,0.32139636915752395,0.13929617918626339
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,25,0.8800819229106015,0.11868216797811539,0.26504074893228174,0.11868216797811539
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,30,0.6334544858834159,0.12186792314106135,0.2852737339363563,0.12186792314106135
