uuid,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,1,0.7444328921214322,0.12434365718804696,0.2608500259862484,0.12434365718804696
4D721EDD-2FAD-49F4-875C-A0945C9A0471,3,0.4596383230175127,0.10963781211887189,0.2793626251937415,0.10963781211887189
4D721EDD-2FAD-49F4-875C-A0945C9A0471,5,0.3258152295647477,0.10878851716104784,0.2873803856950215,0.10878851716104784
4D721EDD-2FAD-49F4-875C-A0945C9A0471,7,0.3847479809087484,0.11319868761310697,0.3113248383559498,0.11319868761310697
4D721EDD-2FAD-49F4-875C-A0945C9A0471,11,0.32500954628560447,0.10247223206706632,0.32610860507208544,0.10247223206706632
4D721EDD-2FAD-49F4-875C-A0945C9A0471,21,0.3322081957919616,0.12022493434092599,0.26429366886384925,0.12022493434092599
3052AEDB-2B8F-4821-A91A-47513BA26DEB,1,0.7477581059766716,0.1060231248991464,0.26092487896688554,0.1060231248991464
3052AEDB-2B8F-4821-A91A-47513BA26DEB,3,0.3098176460189668,0.10321710528849248,0.24802569856279322,0.10321710528849248
3052AEDB-2B8F-4821-A91A-47513BA26DEB,5,0.27064234498801243,0.11494571134103798,0.2752097571700906,0.11494571134103798
3052AEDB-2B8F-4821-A91A-47513BA26DEB,7,0.22123218360149183,0.11058659139874949,0.2494381436215743,0.11058659139874949
3052AEDB-2B8F-4821-A91A-47513BA26DEB,11,0.25257967520980484,0.10418622655957284,0.23789663614533105,0.10418622655957284
3052AEDB-2B8F-4821-A91A-47513BA26DEB,21,0.36056444738497534,0.11577061476548782,0.20331776466779017,0.11577061476548782
B78027F8-1112-454B-BF89-C30F71C6BC55,1,0.6827282342322897,0.11660428667671385,0.20865656002316618,0.11660428667671385
B78027F8-1112-454B-BF89-C30F71C6BC55,3,0.3353441072759883,0.11747928421755024,0.20313234449749565,0.11747928421755024
B78027F8-1112-454B-BF89-C30F71C6BC55,5,0.27707984967618793,0.12042339158864025,0.23206395214570325,0.12042339158864025
B78027F8-1112-454B-BF89-C30F71C6BC55,7,0.3026030295467249,0.12418754062364695,0.2504535427474548,0.12418754062364695
B78027F8-1112-454B-BF89-C30F71C6BC55,11,0.29581634494566716,0.14141746941999106,0.2943202328932537,0.14141746941999106
B78027F8-1112-454B-BF89-C30F71C6BC55,21,0.34939000451570923,0.1479032544997177,0.35487048376205654,0.1479032544997177
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,1,0.7923797517214188,0.11862416919831617,0.3150852173256052,0.11862416919831617
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,3,0.5205552003411493,0.1037046262406178,0.3482597573122631,0.1037046262406178
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,5,0.277800063476861,0.09839389206894798,0.28773284677128275,0.09839389206894798
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,7,0.25735997196948096,0.10013605689569355,0.2522771702304637,0.10013605689569355
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,11,0.30344238142692725,0.10416044004615307,0.3018724120989748,0.10416044004615307
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,21,0.26342647849277967,0.10142868015420867,0.27147450046639515,0.10142868015420867
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,1,0.6782774505791486,0.1266923209680447,0.2890133209524719,0.1266923209680447
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,3,0.36145343991853335,0.12209836849402142,0.30353948415184895,0.12209836849402142
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,5,0.2754723557327576,0.1204435971796469,0.31163320308557924,0.1204435971796469
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,7,0.3979448201016404,0.11716407083430161,0.2872765548248971,0.11716407083430161
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,11,0.3086356536277376,0.11270227309250891,0.31746848598387045,0.11270227309250891
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,21,0.3759317065827041,0.10555927197802915,0.2991294184031655,0.10555927197802915
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,1,0.7398112159193053,0.11758878240708212,0.21829393629798743,0.11758878240708212
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,3,0.4282251600165872,0.1196803954945395,0.21747281883510194,0.1196803954945395
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,5,0.3348489421818865,0.12338123967154513,0.3075461378632755,0.12338123967154513
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,7,0.4432325407477786,0.12247325578917008,0.28192555298569166,0.12247325578917008
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,11,0.3774856775742255,0.11618259453855025,0.2922268711850454,0.11618259453855025
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,21,0.3320980989205595,0.12208532129227373,0.2510697078088045,0.12208532129227373
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,1,0.7121011299678525,0.14218863039966073,0.25621250573873966,0.14218863039966073
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,3,0.5629893596369769,0.14834707439736058,0.3330093962334208,0.14834707439736058
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,5,0.3576861648528865,0.13862398111041987,0.3191854849198034,0.13862398111041987
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,7,0.43602063985375494,0.1480932473705848,0.3883284032279112,0.1480932473705848
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,11,0.3486199988469045,0.14704844298322245,0.3949753712297281,0.14704844298322245
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,21,0.27756805705430554,0.13924662490069417,0.35038872824074263,0.13924662490069417
88F1EBAD-5195-4066-986D-8F5C55B30E9F,1,0.9033422740851215,0.13461149621771878,0.24476424737145713,0.13461149621771878
88F1EBAD-5195-4066-986D-8F5C55B30E9F,3,0.37698068837218,0.12065266475824857,0.2275369818790403,0.12065266475824857
88F1EBAD-5195-4066-986D-8F5C55B30E9F,5,0.295443537926011,0.11461756499652666,0.19330789782241997,0.11461756499652666
88F1EBAD-5195-4066-986D-8F5C55B30E9F,7,0.3502132837810229,0.114818255598658,0.2135315422805374,0.114818255598658
88F1EBAD-5195-4066-986D-8F5C55B30E9F,11,0.2943968985712536,0.11385530095687472,0.211816826473126,0.11385530095687472
88F1EBAD-5195-4066-986D-8F5C55B30E9F,21,0.40552498932286657,0.11538751607580858,0.1928905182798692,0.11538751607580858
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,1,0.599500033713162,0.11069035640565841,0.2903187732585608,0.11069035640565841
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,3,0.37541309155959274,0.0985929114062431,0.20590243564588306,0.0985929114062431
