uuid,nesting ratio and bias,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.0-0.0,0.31095739220016877,0.10860675013966481,0.22558424610782304,0.10860675013966481
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-0.0,0.31684857486176793,0.10062697605100057,0.17830815903364,0.10062697605100057
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-0.5,0.4132362199183044,0.1309131360686831,0.24460485373373092,0.1309131360686831
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-1.0,0.39575760651363734,0.07592598569161839,0.14056788536982387,0.07592598569161839
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-0.0,0.4804184373732214,0.13428015882898775,0.2706155764495174,0.13428015882898775
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-0.5,0.684777538467589,0.16207830887335611,0.25369792233722693,0.16207830887335611
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-1.0,0.3987318617391775,0.12841439344899588,0.26522087526858956,0.12841439344899588
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.0-0.0,0.5209223346474193,0.10190906980912265,0.15495616375274887,0.10190906980912265
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-0.0,0.4729979667218712,0.11491468365850496,0.19797248039101198,0.11491468365850496
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-0.5,0.7662364786806457,0.12112202556636462,0.23104312361182863,0.12112202556636462
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-1.0,0.7005530950374648,0.10119813504141706,0.2041315440276916,0.10119813504141706
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-0.0,0.7757143496654345,0.15213358513783576,0.32227740473342026,0.15213358513783576
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-0.5,0.791468890809894,0.12528308524906123,0.26206944155597667,0.12528308524906123
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-1.0,0.8234572896891761,0.1484544164242269,0.2814978012637327,0.1484544164242269
