uuid,nesting ratio and bias,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.0-0.0,0.2711475467489924,0.13245103790864962,0.3064433847500787,0.13245103790864962
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-0.0,0.4006689088873585,0.12205306437961212,0.24433723440573069,0.12205306437961212
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-0.5,0.251990297529921,0.12480196580793433,0.22659339733804554,0.12480196580793433
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-1.0,0.284381225120909,0.09269594930937748,0.15825934847710746,0.09269594930937748
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-0.0,0.22301134889249724,0.10409136799132454,0.2734781946912588,0.10409136799132454
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-0.5,0.29649212746607784,0.14162445963199094,0.2998398677036106,0.14162445963199094
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-1.0,0.289343585447142,0.12847733216724794,0.2527866396667626,0.12847733216724794
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.0-0.0,0.2469419641025012,0.114062079238109,0.2253323846079483,0.114062079238109
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-0.0,0.3042054658487942,0.12044933958069774,0.2974111144576112,0.12044933958069774
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-0.5,0.16324042379518225,0.0834625778655574,0.12366432348345777,0.0834625778655574
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-1.0,0.2513008159110327,0.117231990016791,0.20131137704050983,0.117231990016791
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-0.0,0.3233092967391765,0.13994002727935187,0.29084924876102747,0.13994002727935187
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-0.5,0.22190245088197658,0.12588620048052704,0.25011161322232744,0.12588620048052704
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-1.0,0.3856542659187875,0.12885778763490807,0.21729201326110667,0.12885778763490807
B78027F8-1112-454B-BF89-C30F71C6BC55,0.0-0.0,0.21082018918369488,0.0889622086488958,0.16106334954283774,0.0889622086488958
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-0.0,0.2742137034151444,0.09937092686236154,0.20490803384135828,0.09937092686236154
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-0.5,0.21595346891334385,0.12136816782357877,0.2572192819395349,0.12136816782357877
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-1.0,0.25501542722149473,0.10869790801102598,0.18120723099512853,0.10869790801102598
B78027F8-1112-454B-BF89-C30F71C6BC55,0.5-0.0,0.16194120167641227,0.11655470972562737,0.2456033763299269,0.11655470972562737
B78027F8-1112-454B-BF89-C30F71C6BC55,0.5-0.5,0.2880291434354418,0.14622363644846983,0.32924123090311014,0.14622363644846983
B78027F8-1112-454B-BF89-C30F71C6BC55,0.5-1.0,0.2357202832636496,0.10369616703928501,0.20213940600498223,0.10369616703928501
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.0-0.0,0.26111500671514215,0.07094319696451067,0.10778330770702793,0.07094319696451067
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.25-0.0,0.235076293858674,0.08899519432988592,0.16859096552132674,0.08899519432988592
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.25-0.5,0.16142795390095774,0.11719743512854441,0.2654917506615103,0.11719743512854441
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.25-1.0,0.3177873413325385,0.12619476647727668,0.2749740818640757,0.12619476647727668
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.5-0.0,0.18336816648318502,0.1314948482981204,0.3312942301507953,0.1314948482981204
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.5-0.5,0.19997955926448865,0.11711161556029019,0.2736765331314592,0.11711161556029019
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.5-1.0,0.21504541329422183,0.12887216993425327,0.3183526450945995,0.12887216993425327
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.0-0.0,0.2332226152266973,0.10313419674103272,0.21320040677109384,0.10313419674103272
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.25-0.0,0.30962556771304317,0.10751510487744324,0.22049376306094554,0.10751510487744324
