uuid,initial number of clusters,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity,number of internal vertices in cluster graph,number of external vertices in cluster graph,number of internal edges in cluster graph,number of external edges in cluster graph,number of faces in cluster graph
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,0,0.41993269879081013,0.17479739574702952,0.16604769849598824,0.07902859505090777,10,10,37,10,28
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,1,0.35277838657786625,0.14689325346285928,0.18160793697203906,0.08172446549361596,11,10,40,10,30
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,2,0.3369206898190793,0.13210693413825722,0.22283379520148738,0.08317751017195975,11,11,41,11,31
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,3,0.30335974121315007,0.12219166268655525,0.19997414775668823,0.0864039906215771,11,12,42,12,32
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,4,0.33135886227295636,0.16422498936359273,0.23592830580610497,0.0944014023156805,12,12,45,12,34
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,5,0.30992486262252217,0.16530944632366482,0.24667590120604244,0.09488588266943848,11,13,43,13,33
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,6,0.33401729206430575,0.17584081097884297,0.276372773065531,0.09903118034356348,12,13,46,13,35
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,7,0.30017957989023375,0.13488650422701756,0.28374069849973904,0.09812232479806915,11,13,43,13,33
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,8,0.3219719770039871,0.14138177304070484,0.27513177648762355,0.10145018054377392,12,12,45,12,34
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,9,0.27632121706763585,0.12505320725960317,0.28075952194649817,0.10309933244882502,12,13,46,13,35
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,10,0.3303404538723991,0.1321430503448808,0.2730346286386241,0.10104676905240766,12,13,46,13,35
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,11,0.3865597254589111,0.17011844165998766,0.286316697151944,0.10218488067948732,12,14,47,14,36
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,12,0.32483536062742563,0.144813479344717,0.28562243481617544,0.10008762581301078,12,14,47,14,36
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,13,0.31596631937835506,0.150743794246771,0.278682154616879,0.09929317478110933,12,13,46,13,35
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,14,0.2754592087977197,0.13345252341939487,0.292858923753945,0.10060101273713368,12,12,45,12,34
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,15,0.3244503446422007,0.14128237030936489,0.2736619816261931,0.10092065358787776,13,11,47,11,35
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,16,0.3364399015098574,0.1631098875207752,0.24596486166850803,0.09882615508320108,12,12,45,12,34
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,17,0.2887603451013307,0.15574316287511514,0.2549801627381437,0.09940236077615194,11,12,42,12,32
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,18,0.2776581753323402,0.14422658485544543,0.2615863038788926,0.09627448580234324,10,13,40,13,31
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,19,0.3526600307668085,0.17313389804959292,0.2967648740059916,0.10008302196175808,10,13,40,13,31
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.0,0.0,20,0.3974413251367946,0.1696694699672721,0.2902836972633444,0.10683547741288121,11,12,42,12,32
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.0,0.0,0,0.4286257038348225,0.14798616911547677,0.1601058246378251,0.08279905998657436,11,9,39,9,29
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.0,0.0,1,0.43466798728585887,0.1630152835715247,0.19726807980203914,0.0843427049869468,12,9,42,9,31
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.0,0.0,2,0.290206341661739,0.15210240074149825,0.24924119721237437,0.09256188677173853,13,8,44,8,32
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.0,0.0,3,0.331824815293359,0.1439701817205189,0.2502812692564368,0.09196753356866867,13,9,45,9,33
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.0,0.0,4,0.2620683032705147,0.15070486721913426,0.2580842325765596,0.09464791438338267,14,9,48,9,35
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.0,0.0,5,0.2690506118438391,0.13649621726102606,0.25086393809489066,0.08972678974398482,13,10,46,10,34
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.0,0.0,6,0.23183406306815324,0.12248117584602686,0.2390418218076037,0.0854827666211661,12,10,43,10,32
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.0,0.0,7,0.2552127834365458,0.13862327851711623,0.23286568354434867,0.0902779456243631,13,9,45,9,33
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.0,0.0,8,0.23552189503285495,0.13139324208408423,0.2432662005642804,0.09065974610078673,13,10,46,10,34
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.0,0.0,9,0.31726735391394434,0.16169465248687076,0.24384944549861998,0.09133978313899482,12,10,43,10,32
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.0,0.0,10,0.33840724447463516,0.1663169907110111,0.24859249311542658,0.09041600449103822,11,11,41,11,31
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.0,0.0,11,0.38463451493172784,0.16640295301630134,0.26401988163127177,0.09581746956918498,12,11,44,11,33
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.0,0.0,12,0.3843786133753818,0.19159234318783755,0.276233876723747,0.10581061682150746,13,10,46,10,34
