uuid,initial number of clusters,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity,number of internal vertices in cluster graph,number of external vertices in cluster graph,number of internal edges in cluster graph,number of external edges in cluster graph,number of faces in cluster graph,average internal vertex degree in cluster graph,average external vertex degree in cluster graph
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,0,0.6659937283222385,0.22489351420843054,0.32047250977918534,0.13723904489282324,24,6,75,6,52,4.916666666666667,7.333333333333333
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,1,0.47319477559794837,0.16976563519437005,0.34059261051451617,0.13718220141132123,24,5,74,5,51,4.916666666666667,8.0
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,2,0.379894716774952,0.15082985426875778,0.353867847832428,0.14046182265871024,23,5,71,5,49,4.913043478260869,7.8
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,3,0.4004026223287452,0.1403012217934446,0.36618510123263925,0.13907911397844294,23,6,72,6,50,4.913043478260869,7.166666666666667
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,4,0.3515690649925174,0.12225617378455443,0.36961946177849836,0.13752823994006833,23,7,73,7,51,4.913043478260869,6.714285714285714
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,5,0.34484373027599247,0.10650591936492713,0.37295747268336155,0.13580450774496403,23,6,72,6,50,4.913043478260869,7.166666666666667
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,6,0.42056192605152126,0.11327558234989409,0.3564973301890457,0.13831375026495765,22,6,69,6,48,4.863636363636363,7.166666666666667
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,7,0.4452523288851916,0.13329552643364811,0.3522520924909942,0.14005037426352399,23,6,72,6,50,4.913043478260869,7.166666666666667
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,8,0.3512938617971154,0.135792390935484,0.35027120839606896,0.13723608869702408,24,6,75,6,52,4.916666666666667,7.333333333333333
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,9,0.4046095333412096,0.10892033221554409,0.349198768288855,0.14218628808337078,25,5,77,5,53,5.12,7.2
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,10,0.3398673339670163,0.10065567259902572,0.34474764569557265,0.14364225056524646,25,5,77,5,53,5.12,7.2
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,11,0.39875300233733907,0.10594265546914237,0.3500211422024033,0.1416840074561191,26,5,80,5,55,5.153846153846154,7.2
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,12,0.4290802445392022,0.11628354556829848,0.3538316196460328,0.14243450436365243,27,4,82,4,56,5.407407407407407,6.5
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,13,0.34331656797105264,0.10857095499153223,0.35759173806539823,0.1399877729924031,28,4,85,4,58,5.357142857142857,7.0
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,14,0.35382706527783964,0.10493737368239307,0.3476916941470303,0.13593408618198335,28,5,86,5,59,5.357142857142857,6.4
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,15,0.42375174466159954,0.09773681999240653,0.34376511349970523,0.13549152192870148,28,5,86,5,59,5.321428571428571,6.6
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,16,0.4164770242968117,0.12010847500894918,0.34484546290743756,0.13380468734919285,27,6,84,6,58,5.407407407407407,5.666666666666667
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,17,0.4143883382378278,0.13325570407403992,0.3485999577819492,0.13574517540886588,28,6,87,6,60,5.428571428571429,5.666666666666667
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,18,0.3560339520499542,0.1277674992614187,0.3415333607379881,0.13513551999228937,28,5,86,5,59,5.428571428571429,6.0
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,19,0.3113843523892986,0.10621671673404132,0.3514247280949337,0.13725298249997225,28,4,85,4,58,5.428571428571429,6.5
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.5,20,0.38525553790161987,0.11269900604590201,0.3458906443759103,0.13841977622708546,27,4,82,4,56,5.407407407407407,6.5
