uuid,number of vertices,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,0,0.6370189420941018,0.19805751503147145,0.3010496979774845,0.13487271945167117
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,1,0.5925342416553021,0.1634989602820805,0.3116585946970505,0.1368711639467562
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,2,0.4585315884250664,0.15948930871994102,0.34467138676186954,0.13627698763943438
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,3,0.41051484503947516,0.15553258021226835,0.36346731257792314,0.13693328844607677
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,4,0.44458780846992607,0.17159128912843208,0.3776743391447454,0.13860229579091246
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,5,0.4538212949062316,0.16370345091823205,0.37901547807819974,0.13559807953476888
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,6,0.4787252945427065,0.16167361094853902,0.3808109529849288,0.13634755506207102
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,7,0.5235025281976038,0.15929770860300754,0.3735056336217114,0.13940113230703105
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,8,0.49180373326542454,0.16365981398316293,0.363214850098872,0.14068335519455757
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,9,0.3574506461584675,0.1497675163521193,0.37650555646429074,0.14000901672408872
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,10,0.3272629326569658,0.12890425910339456,0.3742974519141965,0.1380067361087647
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,11,0.33242424278125704,0.14816069075434896,0.34960673639970474,0.13726460950278518
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,12,0.30032782867795277,0.13569334985886455,0.3563498577443583,0.13964718031162643
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,13,0.3604595281721279,0.1302002927874214,0.36416514030870495,0.13728579104971603
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,14,0.3316905094989311,0.11888469495923637,0.3657283989315493,0.13520681070044077
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,15,0.4117296129599815,0.1432361431831173,0.36604143436056513,0.13587807639679467
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,16,0.44986915440936,0.14423588542925436,0.3327607900266498,0.135917191183228
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,17,0.3764159927679443,0.167722668893174,0.320704100846268,0.13767764279868264
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,18,0.3579982146197743,0.14020113971134338,0.31793584042342915,0.13545363377037326
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,19,0.3439265519779964,0.14135769858105196,0.3033383328841336,0.13408022900881336
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.5,0.0,20,0.34765013129604344,0.16578563680367717,0.2933251312903424,0.13136454959327834
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,0,0.5607871878759763,0.22493647980575396,0.3193840063819451,0.11526294604894996
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,1,0.4805800396485039,0.18736619162599905,0.2912219172558969,0.1129068638132215
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,2,0.3472939274657212,0.16930226518723837,0.27401876273440173,0.11455518404409136
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,3,0.3730411932306171,0.1621187877733175,0.29248049073662696,0.11411873738872395
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,4,0.4077786549617102,0.17859645955772194,0.29980672455719254,0.12003825475313765
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,5,0.39171158692303654,0.17155948210379574,0.32105928012113144,0.12028434042545304
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,6,0.33217769666348795,0.14945285164994834,0.33148842702031794,0.11880058657261076
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,7,0.3870833037204951,0.1567091472959777,0.30734348611484497,0.11868748810485887
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,8,0.37691508368041055,0.177512416625239,0.3398134618633244,0.12380448558521887
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,9,0.4184586779150993,0.19387066067210035,0.3717341091190355,0.12900640905154206
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,10,0.4866616523362688,0.21211095646206032,0.3739781829997223,0.12859337914447638
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,11,0.4521833673115566,0.21109946293841708,0.3891636847384568,0.13238616732592243
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,12,0.4388690355431743,0.18768289830341284,0.3917996852855694,0.13079301744368432
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,13,0.3817182324442942,0.1879819072089534,0.4016061098039275,0.13411597412000054
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,14,0.4528641675939209,0.18053054024356446,0.3935237224310333,0.13166432096072483
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,15,0.4890442783341739,0.19134853066147356,0.4131294202120933,0.13460292460609377
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,16,0.4425317467517094,0.19550446508134703,0.4108187997086832,0.13284087001172376
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,17,0.3962094107663783,0.19975639320042704,0.42037331786752974,0.1347618892853529
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,18,0.3996852386971381,0.19559452311743905,0.4105801459982774,0.1351878189474404
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,19,0.4025935619864622,0.19551480961777454,0.4033460682127842,0.13635415354219316
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.5,0.0,20,0.3733943750227754,0.177939118147085,0.40302864082114853,0.1340534721688602
4C84D073-8E95-4BB3-924D-8AE018CB08EB,30,0.5,0.0,0,0.3852696402500295,0.21261625672296877,0.3245618223456848,0.12514244524135937
4C84D073-8E95-4BB3-924D-8AE018CB08EB,30,0.5,0.0,1,0.4007650784152328,0.17387872925680828,0.35317298477178416,0.12501048941125759
4C84D073-8E95-4BB3-924D-8AE018CB08EB,30,0.5,0.0,2,0.4197870002760951,0.15782795680973577,0.35716384688206393,0.1249340700840174
