uuid,initial number of clusters,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity,number of internal vertices in cluster graph,number of external vertices in cluster graph,number of internal edges in cluster graph,number of external edges in cluster graph,number of faces in cluster graph
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,0,0.3751001789452161,0.1457453491010607,0.12289659487889472,0.07549361702405262,7,8,26,8,20
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,1,0.2959732887248619,0.11624569058626791,0.1422086869619743,0.08158784683708815,7,8,26,8,20
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,2,0.19101468200555324,0.10437035789764351,0.14659293803948772,0.08281707711223928,6,9,24,9,19
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,3,0.24242406188410948,0.1075891431665214,0.17149074693675806,0.08543401459312414,6,9,24,9,19
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,4,0.2462525849929253,0.09747231010058278,0.16122348107346582,0.0762262046526771,7,9,27,9,21
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,5,0.28311214294545445,0.11834676109122581,0.1716785057693899,0.07902574682742487,6,9,24,9,19
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,6,0.27619290678712377,0.12111481392308857,0.20916450600089614,0.08121351976300994,6,10,25,10,20
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,7,0.303234848855631,0.12273222423936446,0.15415185443852888,0.08995094210804674,7,9,27,9,21
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,8,0.2655000742179722,0.11297654275981163,0.1807734708088837,0.08972999529629891,7,10,28,10,22
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,9,0.25506379907370585,0.13591102611138342,0.175688598529947,0.09240116132343158,7,9,27,9,21
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,10,0.2405880832603818,0.1335919497787776,0.23641790792585884,0.10229233823655859,8,8,29,8,22
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,11,0.33254577274293645,0.13109863200344513,0.2539846466064093,0.10278267463747452,7,8,26,8,20
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,12,0.2541082778627675,0.11241985064415923,0.26862885050530555,0.10802734830734857,7,8,26,8,20
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,13,0.2380093279044872,0.12971837613157228,0.28333389005063647,0.10791069166582598,6,9,24,9,19
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,14,0.38390257685203,0.18303436433737863,0.28289549218545657,0.1107955316639473,7,9,27,9,21
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,15,0.42223833544705053,0.15824658837261113,0.28379207841255205,0.11946174395277366,8,8,29,8,22
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,16,0.42135148387889904,0.17910892358816918,0.2756576129752508,0.11909745043917784,8,9,30,9,23
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,17,0.2877842559186874,0.13078077324529175,0.2862234230829836,0.1273821255014318,9,8,32,8,24
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,18,0.27223124403847854,0.09328599093523972,0.27698102751841713,0.12606471005571784,9,8,32,8,24
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,19,0.18864245980239483,0.09688417779352271,0.28356536159424994,0.12332422413056661,8,8,29,8,22
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.0,0.0,20,0.3197012529584919,0.09251849902892109,0.27411189869366714,0.12553487582724215,8,7,28,7,21
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,0,0.4111035977931159,0.20627389093343126,0.15852134900696355,0.09663437754450131,9,6,30,6,22
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,1,0.4157230097934392,0.18810992082507874,0.14368700884317548,0.08684381656423966,8,7,28,7,21
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,2,0.3249097312967845,0.15981891217141894,0.1424815080201338,0.08288888498039655,7,8,26,8,20
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,3,0.28740932603577657,0.1526746194465439,0.19785110544331816,0.09099947011764348,8,7,28,7,21
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,4,0.2145463275842583,0.13711014160668705,0.18376728357493768,0.08943551618912826,7,7,25,7,19
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,5,0.19666607445282192,0.11343590122025046,0.18881325683922545,0.08558496670339959,7,8,26,8,20
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,6,0.2792796056061626,0.12241141740381073,0.17488961201919598,0.0934989244563134,8,7,28,7,21
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,7,0.277826550120882,0.14349201331408565,0.18787370096522493,0.10601577859189362,8,7,28,7,21
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,8,0.3909156127476846,0.14602703073791848,0.21569924867990253,0.11325058576121001,9,6,30,6,22
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,9,0.4096791511976557,0.13747274525047484,0.2291747849339868,0.11451256635032103,9,6,30,6,22
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,10,0.3062677369865611,0.11496544323325329,0.23127572432491084,0.11176258545702472,8,7,28,7,21
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,11,0.2880348318911572,0.1386723793630293,0.3095858342934671,0.12619949146883852,9,6,30,6,22
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,12,0.3006360551675107,0.137380062711939,0.3011453108585292,0.1248508800243587,10,6,33,6,24
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,13,0.3229309478952311,0.1389349212757218,0.28483314351675276,0.12714184344758897,11,6,36,6,26
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,14,0.3463622846360456,0.134258971996331,0.2764592950517405,0.12329357240477051,12,6,39,6,28
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,15,0.38280194179481125,0.12144923869381656,0.3705002008494708,0.13498773020486063,13,5,41,5,29
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,16,0.3587360776951904,0.15223708969665195,0.3898351901894834,0.13624075520782947,12,5,38,5,27
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,17,0.4211825695441597,0.15032565097337827,0.3998695934923754,0.1320305140618215,12,6,39,6,28
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.0,0.0,18,0.44405596486298854,0.19690764293852067,0.3965217539631817,0.13584884179625592,13,6,42,6,30
