uuid,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,1,0.7179251686817486,0.13815407576340288,0.2777094598840302,0.13815407576340288
4D721EDD-2FAD-49F4-875C-A0945C9A0471,3,0.4164202128395409,0.1393321702815627,0.2827945145172137,0.1393321702815627
4D721EDD-2FAD-49F4-875C-A0945C9A0471,5,0.3809966009163742,0.13673977858147607,0.2908334269646289,0.13673977858147607
4D721EDD-2FAD-49F4-875C-A0945C9A0471,7,0.3034982040191715,0.1370975778848786,0.336929905042397,0.1370975778848786
4D721EDD-2FAD-49F4-875C-A0945C9A0471,11,0.22612273887626344,0.13566270824814297,0.28567540784257284,0.13566270824814297
4D721EDD-2FAD-49F4-875C-A0945C9A0471,21,0.18827118975739324,0.14317830739971113,0.2837617899467355,0.14317830739971113
3052AEDB-2B8F-4821-A91A-47513BA26DEB,1,0.7679481035049673,0.1357735385919828,0.27402203706052924,0.1357735385919828
3052AEDB-2B8F-4821-A91A-47513BA26DEB,3,0.3235249746299397,0.11507049003011888,0.2603271711505075,0.11507049003011888
3052AEDB-2B8F-4821-A91A-47513BA26DEB,5,0.3515076520606409,0.11368797682148175,0.2518582425591793,0.11368797682148175
3052AEDB-2B8F-4821-A91A-47513BA26DEB,7,0.28279023901782835,0.12520033517872176,0.26396815452299316,0.12520033517872176
3052AEDB-2B8F-4821-A91A-47513BA26DEB,11,0.18472969320338525,0.13124155914547594,0.28582456910458376,0.13124155914547594
3052AEDB-2B8F-4821-A91A-47513BA26DEB,21,0.29859505613896764,0.11484355339585678,0.2760747572044393,0.11484355339585678
B78027F8-1112-454B-BF89-C30F71C6BC55,1,0.7263660099681056,0.10984718440823651,0.2727067714656757,0.10984718440823651
B78027F8-1112-454B-BF89-C30F71C6BC55,3,0.39025597232691744,0.10920923608262251,0.2194113933000162,0.10920923608262251
B78027F8-1112-454B-BF89-C30F71C6BC55,5,0.34198802586483723,0.10991100036754022,0.22237078054106646,0.10991100036754022
B78027F8-1112-454B-BF89-C30F71C6BC55,7,0.21922517926855137,0.11017628661842029,0.23363644552211665,0.11017628661842029
B78027F8-1112-454B-BF89-C30F71C6BC55,11,0.21476453511772298,0.10518459575558016,0.236671616643729,0.10518459575558016
B78027F8-1112-454B-BF89-C30F71C6BC55,21,0.3275534634835111,0.08952939342402765,0.21516747053924273,0.08952939342402765
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,1,0.6984828062881535,0.14682768787255182,0.2910535588206879,0.14682768787255182
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,3,0.36390213541236355,0.14018091297570254,0.31679673096523553,0.14018091297570254
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,5,0.19581965411141777,0.12343979407996614,0.29535328566909613,0.12343979407996614
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,7,0.15604051282143264,0.13319065789037637,0.36417838979051576,0.13319065789037637
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,11,0.2240667831162436,0.1432317560247517,0.33997827526028657,0.1432317560247517
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,21,0.26725064286639155,0.13202288578770566,0.3496223621140321,0.13202288578770566
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,1,0.6675203101924422,0.11864550607310075,0.2976602986652829,0.11864550607310075
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,3,0.3005054949765773,0.11200437359785573,0.2716250688579716,0.11200437359785573
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,5,0.3230379863201609,0.11422487335694484,0.2333412457477987,0.11422487335694484
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,7,0.33872300562891633,0.10596078732377207,0.20190333112198827,0.10596078732377207
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,11,0.2675996770692683,0.12315070907293178,0.22342847125459425,0.12315070907293178
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,21,0.5145717389102824,0.13871935722898127,0.33317934673200533,0.13871935722898127
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,1,0.5853446231974136,0.13930181835794445,0.2981563800482039,0.13930181835794445
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,3,0.40236952138232507,0.13196134644083754,0.28270228715721735,0.13196134644083754
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,5,0.31545620070773295,0.14203209467811434,0.3442711306285934,0.14203209467811434
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,7,0.18247390731986826,0.14200633242801206,0.3426077792796076,0.14200633242801206
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,11,0.25917369396182427,0.1429560296520491,0.34292595402020676,0.1429560296520491
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,21,0.30798319873680907,0.14103515325815727,0.33975293313070365,0.14103515325815727
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,1,0.7372730702210066,0.1308553720822297,0.2513289390703974,0.1308553720822297
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,3,0.559452793977027,0.14166558894193726,0.32274686103184247,0.14166558894193726
