uuid,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,1,0.7543062893577813,0.09661427245186598,0.18240268491475678,0.09661427245186598
4D721EDD-2FAD-49F4-875C-A0945C9A0471,3,0.43799208727937006,0.08857924677171677,0.230488598553926,0.08857924677171677
4D721EDD-2FAD-49F4-875C-A0945C9A0471,5,0.3375525783427693,0.09381973361554836,0.22290431831343138,0.09381973361554836
4D721EDD-2FAD-49F4-875C-A0945C9A0471,7,0.40524308738241416,0.09376662695518251,0.2408518852800406,0.09376662695518251
4D721EDD-2FAD-49F4-875C-A0945C9A0471,11,0.3417263731474621,0.09609990236014158,0.23249769547998722,0.09609990236014158
4D721EDD-2FAD-49F4-875C-A0945C9A0471,21,0.2828550075771198,0.09471315612277212,0.2691633348796477,0.09471315612277212
3052AEDB-2B8F-4821-A91A-47513BA26DEB,1,0.7518199120007725,0.11123827470535033,0.19378012038738057,0.11123827470535033
3052AEDB-2B8F-4821-A91A-47513BA26DEB,3,0.35519924340798165,0.10143185730549241,0.2077730271009939,0.10143185730549241
3052AEDB-2B8F-4821-A91A-47513BA26DEB,5,0.3201334428465831,0.09975592438601295,0.22160766487268585,0.09975592438601295
3052AEDB-2B8F-4821-A91A-47513BA26DEB,7,0.2911859803831865,0.1007440042220418,0.20159381395469572,0.1007440042220418
3052AEDB-2B8F-4821-A91A-47513BA26DEB,11,0.33245372744951857,0.10258011154479606,0.23730604444402245,0.10258011154479606
3052AEDB-2B8F-4821-A91A-47513BA26DEB,21,0.5064579999050208,0.12078357041768585,0.2827109675224253,0.12078357041768585
B78027F8-1112-454B-BF89-C30F71C6BC55,1,0.6623455082306712,0.10802769542872989,0.2267285945744485,0.10802769542872989
B78027F8-1112-454B-BF89-C30F71C6BC55,3,0.401904418322442,0.10179244338713453,0.25874063328403984,0.10179244338713453
B78027F8-1112-454B-BF89-C30F71C6BC55,5,0.38619382605767083,0.10472076521116246,0.2642885576710303,0.10472076521116246
B78027F8-1112-454B-BF89-C30F71C6BC55,7,0.4207454502216895,0.11225974036668614,0.2644202734295533,0.11225974036668614
B78027F8-1112-454B-BF89-C30F71C6BC55,11,0.33126134701543886,0.10963814921063525,0.31057510803712407,0.10963814921063525
B78027F8-1112-454B-BF89-C30F71C6BC55,21,0.3650316375321173,0.11211700039572146,0.26665258681683024,0.11211700039572146
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,1,0.7608210869817558,0.087373581229417,0.1918848742376549,0.087373581229417
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,3,0.42203649709705066,0.08483270748245485,0.20061042444691693,0.08483270748245485
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,5,0.3547152594653905,0.08758326983210862,0.21207100615733018,0.08758326983210862
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,7,0.3562697393007521,0.08638170997873293,0.21067963982419552,0.08638170997873293
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,11,0.3461192349025944,0.09306673717409827,0.22119546642612997,0.09306673717409827
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,21,0.4209575144439775,0.10020708338956416,0.2099637740571687,0.10020708338956416
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,1,0.8763926214688931,0.10320985330603982,0.2141727331248211,0.10320985330603982
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,3,0.4166638877629023,0.09298212943295095,0.20128082298398559,0.09298212943295095
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,5,0.40548620915005884,0.09765318554636615,0.19481662752605972,0.09765318554636615
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,7,0.37519597404447463,0.10054293447106905,0.19157636287575575,0.10054293447106905
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,11,0.37186201595469653,0.10244161719680846,0.18247923215117517,0.10244161719680846
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,21,0.32200769908916166,0.10375643881483688,0.25070979575815244,0.10375643881483688
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,1,0.6833016321962965,0.09576567972613709,0.20527158517164568,0.09576567972613709
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,3,0.2985049067161689,0.09768288364833307,0.22126100900285064,0.09768288364833307
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,5,0.2717327298934914,0.09058159389066602,0.20376192838812854,0.09058159389066602
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,7,0.3888170500998921,0.09515420472698088,0.23522131891501094,0.09515420472698088
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,11,0.3496973832831788,0.10188128152435666,0.24633547360612265,0.10188128152435666
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,21,0.4489327290499933,0.11311391243054897,0.2250672328826425,0.11311391243054897
