uuid,initial number of clusters,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity,number of internal vertices in cluster graph,number of external vertices in cluster graph,number of internal edges in cluster graph,number of external edges in cluster graph,number of faces in cluster graph
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,0,0.6442662764181238,0.24325094096712885,0.26431259090536074,0.13336994285370543,10,5,32,5,23
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,1,0.39234796003083267,0.15430443749042694,0.2588833360914937,0.1369355776534718,11,4,34,4,24
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,2,0.2623437716337129,0.07917154892641495,0.26860780117121896,0.13153948063580895,12,3,36,3,25
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,3,0.13539210406109414,0.06721370270562835,0.2737160380688901,0.13018249174394647,12,3,36,3,25
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,4,0.15375036095699646,0.0729258037664074,0.27779742270209945,0.12514757106398403,12,4,37,4,26
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,5,0.20241928901045256,0.1131094669452315,0.2803458816877019,0.11959557015744136,12,5,38,5,27
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,6,0.2125893565783068,0.10749129365688213,0.2779838728009335,0.12070195131619753,12,5,38,5,27
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,7,0.2680850848201795,0.12591147723660132,0.2939434128857007,0.12374924781638262,11,5,35,5,25
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,8,0.2438739963847175,0.07957905571255554,0.2787742020882234,0.1236714425430343,11,4,34,4,24
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,9,0.18832705171670241,0.0844130836116893,0.27620564158280586,0.1177166528075473,11,4,34,4,24
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,10,0.2400896453551483,0.08900767168141195,0.26935885399522436,0.11775520904927136,11,4,34,4,24
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,11,0.2588161557359165,0.09391397715200964,0.2883139523006737,0.1178803947977921,11,5,35,5,25
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,12,0.23603450835729897,0.09953690769760354,0.2803288814093808,0.11297970476152855,10,6,33,6,24
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,13,0.1913240727964384,0.0771701961179708,0.28130978873468016,0.12539856676308303,11,5,35,5,25
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,14,0.22644410973660611,0.0903743183686495,0.2508324907267167,0.12045604666540602,11,5,35,5,25
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,15,0.28222538206847003,0.10773414157585315,0.26586585193553625,0.12255485619819413,10,6,33,6,24
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,16,0.24091712838478632,0.09543124016252284,0.26527617483799426,0.11656579237515995,11,6,36,6,26
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,17,0.302919437429586,0.09178481449956619,0.2566871892248572,0.11809038364338122,12,6,39,6,28
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,18,0.33194774814925204,0.08816711575473869,0.26047666194078933,0.12084101028141843,13,5,41,5,29
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,19,0.24637878871354754,0.10947113840673743,0.2801481899712355,0.12385256902497137,13,5,41,5,29
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.25,0.99,20,0.24413098635707017,0.10032471645374334,0.27800471999315335,0.12456153506207024,14,5,44,5,31
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.25,0.99,0,0.7732732867655523,0.21145485646413892,0.256634783592968,0.12724467044455678,8,7,28,7,21
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.25,0.99,1,0.38638327659020955,0.1819535310898263,0.2398391350866827,0.1177884111845626,8,8,29,8,22
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.25,0.99,2,0.3712169939691663,0.17027015412499602,0.2409768630280452,0.12907324450893712,9,7,31,7,23
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.25,0.99,3,0.23355249324438082,0.1415535974322906,0.22247843027324904,0.12267342815567901,9,8,32,8,24
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.25,0.99,4,0.23335490208465415,0.14918888543048853,0.22281344787245017,0.11726807849274863,8,9,30,9,23
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.25,0.99,5,0.20284087161583814,0.11946263066346728,0.23594149659297176,0.1117937273553325,8,10,31,10,24
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.25,0.99,6,0.2627144176788194,0.11690925768982147,0.2153893836691034,0.11002563235077159,8,11,32,11,25
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.25,0.99,7,0.2887541802838013,0.1303988166124607,0.22425141920217095,0.10957789511788546,8,10,31,10,24
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.25,0.99,8,0.2806924281667384,0.157803785954106,0.20846384478828162,0.10799782041495737,9,9,33,9,25
