uuid,initial number of clusters,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity,number of internal vertices in cluster graph,number of external vertices in cluster graph,number of internal edges in cluster graph,number of external edges in cluster graph,number of faces in cluster graph
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.25,0.99,0,0.4594328611583565,0.2024844668697563,0.19962712390490978,0.10978109400051708,5,5,17,5,13
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.25,0.99,1,0.2630811692097092,0.14676516236945603,0.23131798988399715,0.11455406706875844,5,5,17,5,13
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.25,0.99,2,0.26113583647651323,0.14402042158178707,0.2084292903595612,0.11139650305691577,4,6,15,6,12
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.25,0.99,3,0.3769732959407655,0.18855190058478757,0.2295372286544557,0.12098250640252246,5,6,18,6,14
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.25,0.99,4,0.3191958852079606,0.193252676717832,0.28653037898423406,0.11751265957345303,6,6,21,6,16
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.25,0.99,5,0.3628833771370875,0.20407812609123638,0.33502792854452557,0.12282759890504744,7,6,24,6,18
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.25,0.99,6,0.23833041180268133,0.1553100812486249,0.32928910181599835,0.11864601784669225,7,6,24,6,18
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.25,0.99,7,0.36975305841775985,0.1794355515343177,0.3108829427673503,0.11272218429109011,7,7,25,7,19
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.25,0.99,8,0.40649429316822344,0.16027758358583566,0.2960776770793295,0.11426238583284712,8,6,27,6,20
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.25,0.99,9,0.3932390156886364,0.1610298815323066,0.27459421160364417,0.11415251430379796,8,6,27,6,20
