uuid,initial number of clusters,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity,number of internal vertices in cluster graph,number of external vertices in cluster graph,number of internal edges in cluster graph,number of external edges in cluster graph,number of faces in cluster graph
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,0,0.7256073957760971,0.260390684023858,0.32649572734221033,0.15580489514053103,6,4,19,4,14
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,1,0.5621955781225941,0.23811189565966184,0.3210175861650285,0.15259269708955425,6,3,18,3,13
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,2,0.4687267719398603,0.1869442523007016,0.29877754813749713,0.14452078446234676,5,4,16,4,12
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,3,0.26119945094487873,0.11945016294522696,0.2818003700969878,0.13299991836156252,5,5,17,5,13
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,4,0.33905491611851113,0.12616153140029976,0.27515202015708035,0.130686458666275,5,6,18,6,14
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,5,0.2423907162600477,0.11849858421536377,0.27143138529990446,0.13090744539389276,5,5,17,5,13
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,6,0.22643475631183996,0.13109235485951032,0.2791994880200429,0.12267401487269246,5,6,18,6,14
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,7,0.27159174439180184,0.13965575448774287,0.25213005646125003,0.12041320331781707,4,7,16,7,13
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,8,0.2312481585733986,0.13709951810937696,0.2687143445077485,0.1189788782405231,5,6,18,6,14
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,9,0.3824985150423827,0.16446150506992566,0.2709666719517155,0.11805530231446434,4,6,15,6,12
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,10,0.2876141114952059,0.12147073573765166,0.29797965605150095,0.121632290538046,3,6,12,6,10
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,11,0.22089134400172586,0.11330465087267845,0.2695378452508488,0.12566857467583228,2,6,9,6,8
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,12,0.21316003134333644,0.1548788706056292,0.2779086378947966,0.12367990396325881,3,6,12,6,10
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,13,0.3127335986049342,0.14388228302765355,0.30995067148652694,0.129928380485574,4,5,14,5,11
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,14,0.16184008931433227,0.091875337648513,0.32135416442224635,0.12250060126777511,4,6,15,6,12
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,15,0.19594767256375828,0.10979036081707925,0.3236647065974412,0.12244950224059552,4,5,14,5,11
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,16,0.25528394896475165,0.10556675690595649,0.33262031457555485,0.13071741151482896,4,5,14,5,11
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,17,0.1481429770635206,0.10201594055691315,0.3469990005289836,0.13207057240512454,4,4,13,4,10
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,18,0.1921841098537105,0.10705220722464315,0.3319001698219427,0.11841034824508351,4,5,14,5,11
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,19,0.2279397943257576,0.07840413519732871,0.33331110974912626,0.12781792427440317,3,5,11,5,9
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.0,20,0.20180109381950614,0.09837769543893828,0.33180554165285236,0.11760082179742026,3,6,12,6,10
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.5,0.0,0,0.7394946660087292,0.2982009804101644,0.28775492939592084,0.15604001112365085,6,4,19,4,14
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.5,0.0,1,0.4218870637281071,0.2218903171042181,0.2852501923463845,0.13842498114487983,6,5,20,5,15
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.5,0.0,2,0.44312544696998823,0.19563714405774146,0.28596996354681303,0.14017445954827026,7,5,23,5,17
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.5,0.0,3,0.4202782343906307,0.14712411249310514,0.2723512063822688,0.13376782376198712,7,5,23,5,17
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.5,0.0,4,0.3300039983572599,0.15157046226882848,0.2808386711178029,0.13396839710235267,8,5,26,5,19
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.5,0.0,5,0.3195890236090286,0.13364991660525627,0.28612814360118277,0.12479034715660023,8,6,27,6,20
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.5,0.0,6,0.3859094436641085,0.17148916192585614,0.2798878930375739,0.12979180877459864,9,6,30,6,22
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.5,0.0,7,0.31877856393999077,0.15292027310924494,0.2813421210031683,0.13194491331053765,9,6,30,6,22
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.5,0.0,8,0.28457773827348976,0.13861905201331073,0.2629619719011524,0.12964057238030066,8,6,27,6,20
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.5,0.0,9,0.2574087452188747,0.13168037393101542,0.2679902147185919,0.13058100367351524,8,6,27,6,20
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.5,0.0,10,0.24768303856979307,0.1344065392541321,0.26172504568780797,0.12417180970367646,8,7,28,7,21
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.5,0.0,11,0.3032862406133788,0.14114156661868174,0.25351045278917456,0.12394893854504428,9,6,30,6,22
