uuid,number of vertices,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,0,0.5365960855054438,0.1669173270940731,0.30443599047598713,0.13688291858753293
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,1,0.2504206865742387,0.1313039029821955,0.3138974057778154,0.13189246741660318
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,2,0.23866189860878467,0.09205989901003503,0.4002802268186834,0.13779087883288754
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,3,0.2216396461062263,0.08783083914531148,0.4057320947244596,0.1303369984989528
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,4,0.2404727115682356,0.10065003642806473,0.40707908319742503,0.13427628441284611
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,5,0.26766317615691504,0.11137602308345762,0.38372644904105613,0.1438731711522631
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,6,0.31282352021680954,0.11279633494128595,0.36587749694925087,0.14514253834625895
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,7,0.3366197845372329,0.10514080219093748,0.37964867489646337,0.14340872650031805
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,8,0.19082630903163433,0.1146161981264678,0.4001511997572296,0.14675260526301445
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,9,0.23797989677167658,0.1385800154177885,0.3926511553215912,0.14403016137064203
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,10,0.2797884735562262,0.1477887983889157,0.38591283496664547,0.14256218596212455
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,11,0.27769401425664736,0.12822047210346388,0.37876721393118273,0.13771569363288289
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,12,0.2705391627012205,0.11608266677520673,0.3994779311337461,0.14063116722712546
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,13,0.3217224663007701,0.10878031324166117,0.40826458226264783,0.14153242477744674
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,14,0.3333923589984447,0.12150690499454851,0.4154272935006751,0.1410629825806599
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,15,0.31577168876494854,0.13324587243218683,0.43031271803736926,0.13783311907090606
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,16,0.3632986181540881,0.1523608415011767,0.4263436965268811,0.14026829546306493
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,17,0.3650089612404303,0.12436411718679961,0.4130681044989283,0.1365910219619389
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,18,0.4085551405255325,0.13906765132671556,0.3915977599953392,0.13657222269469063
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,19,0.4015553973089479,0.1365699843542748,0.40740874125606374,0.13988039227844132
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.5,20,0.4185330203648836,0.14294395415428007,0.4285490380371715,0.14298195856471962
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,0,0.7177373689017618,0.26724737453387726,0.3302694485648589,0.13183571155680832
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,1,0.4296242411439615,0.19085631814454743,0.3200971524284263,0.12446220340710971
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,2,0.4163881939232099,0.1432517574313556,0.29348735781922086,0.1250628342179294
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,3,0.35276504779616524,0.1350084950287093,0.3031639349601966,0.12442671470003099
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,4,0.27781544696298466,0.14807298972564845,0.305525965125507,0.12563629433875098
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,5,0.28626660655097075,0.1269008097396374,0.32651154416711603,0.12769775285460638
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,6,0.2969845747849433,0.13887691200069088,0.32880333199738176,0.12963670477438388
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,7,0.30020499855801286,0.14979617630951778,0.3175329803520791,0.13326723230734014
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,8,0.29384666610157534,0.14474230539781047,0.31236430945784976,0.13287242591454676
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,9,0.3862540133659747,0.16910835254248974,0.3065720400402261,0.13099259066821384
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,10,0.39547027121803663,0.12729407278523877,0.3205712976158811,0.1262449416404921
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,11,0.42224328619339174,0.16791424631958143,0.31812980192979723,0.12708421996757668
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,12,0.3608039241296242,0.13650956267147388,0.3185891212414975,0.12492097069772796
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,13,0.37288522277959135,0.13942963382931658,0.31906347732735985,0.12777641016486957
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,14,0.3670589698592203,0.1359809197433282,0.3156049620624039,0.13472407082683305
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,15,0.3506732378629941,0.15341766788115116,0.31185111042912206,0.13124904090984574
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,16,0.34567065406983094,0.14926410706741594,0.32125853499831325,0.12956595965550527
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,17,0.40140375521272753,0.14714160824387057,0.3262123210113076,0.12837248085708308
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,18,0.4236407009031805,0.16995769600013003,0.33164836337562453,0.13031932657289594
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,19,0.44836821716482333,0.18659729801614264,0.3439669934914327,0.12984804392557014
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.5,20,0.3754649132393784,0.15330991592180274,0.3298489571787603,0.12752173476554643
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,0,0.8405484775411459,0.2753364118646582,0.32779475272259573,0.13760352795359462
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,1,0.3473945140216627,0.16930279358846653,0.3431736012715714,0.12455872319957928
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,2,0.29869994160736874,0.1447296741804671,0.33251798705352387,0.1254558032293311
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,3,0.31060187516004384,0.12494754246886677,0.33557689248887523,0.12690342025495077
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,4,0.38985452915362123,0.12372209062557675,0.322962898961478,0.12328203720578905
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,5,0.3775628819826047,0.11672552026669586,0.32305026255840097,0.12702177666841907
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,6,0.33919595516494816,0.09822952974978866,0.31656194668543836,0.1250066671832178
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,7,0.2900687157665356,0.09915118763352661,0.3210264405074517,0.1246021219434733
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,8,0.3393999767801609,0.11511230844891931,0.3209934457633435,0.12673504666304192
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,9,0.3609791313911194,0.09848960925054233,0.3242936539015431,0.12579021649802813
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,10,0.3607285672568878,0.08538081732432959,0.2988088045476444,0.12379372439619693
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,11,0.3864145889822334,0.140256703699059,0.30173674323903726,0.1233466144962794
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,12,0.41422802178610035,0.18244079292964643,0.3291132341134624,0.12687990898296958
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,13,0.35036838996477976,0.16557953852723353,0.3293547893185366,0.12912130974822572
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,14,0.32381434660336084,0.1285816878700132,0.3347857180070811,0.12860769664425734
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,15,0.33474889582424594,0.1369438084500637,0.37319750320816325,0.13281020990989964
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,16,0.2700520555243395,0.112114729307983,0.37171075329616976,0.1436220263526893
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,17,0.19934412517312708,0.10771160460112406,0.3697207321669693,0.14176783391485062
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,18,0.3251517253804838,0.11584843834096767,0.3711522827483434,0.13660666899452933
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,19,0.2141817207809557,0.08603275428528098,0.3667160029239902,0.14186028294853656
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.5,20,0.3468958421476403,0.095402452060533,0.36999341641284766,0.14682253665828274
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.5,0,0.6855864546235182,0.23147467282479384,0.3142536609888318,0.14265803155237453
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.5,1,0.4415863622082566,0.1515633869243406,0.3422546792238945,0.14045548722054915
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.5,2,0.30716721931179497,0.14731248951209253,0.3432655923172778,0.14194822403426616
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.5,3,0.33258378922593174,0.15497803750311254,0.3391070433639959,0.1421763519175494
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.5,4,0.25548116485628036,0.15095884004674723,0.34253058750114196,0.14358171885911766
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.5,5,0.24553613595637128,0.15765341022752477,0.3304156959630874,0.1473799269181162
