uuid,initial number of clusters,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity,number of internal vertices in cluster graph,number of external vertices in cluster graph,number of internal edges in cluster graph,number of external edges in cluster graph,number of faces in cluster graph
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,0,0.5049508439740807,0.25554056129153874,0.3051628874811456,0.11640897042439331,20,10,67,10,48
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,1,0.5161287841558366,0.22997954201466794,0.3204976494553392,0.12125574796746624,21,9,69,9,49
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,2,0.40633464379700707,0.21604610952158393,0.33972621937279135,0.11880080537476397,21,10,70,10,50
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,3,0.3639407533419193,0.20472620906541728,0.3421791957764777,0.11568696397178309,20,11,68,11,49
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,4,0.38527229805625146,0.20742641274013218,0.34657479007681946,0.11991618864424568,21,11,71,11,51
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,5,0.4481811968162674,0.20665161603523569,0.3794897237703453,0.12018714324360316,22,11,74,11,53
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,6,0.44785878709073274,0.2015011565204015,0.3661820461247297,0.11835552870875946,21,11,71,11,51
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,7,0.46281478508819246,0.21660050893050317,0.35988986970071063,0.11708820221517119,20,12,69,12,50
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,8,0.4596014045852947,0.2089966885401824,0.35435154973381244,0.11699492423180206,20,11,68,11,49
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,9,0.3743029862035441,0.19976750366542168,0.36947443512075784,0.11948372681229341,20,10,67,10,48
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,10,0.3741264653617988,0.19458737996741568,0.3692064767079085,0.12045421263135815,20,9,66,9,47
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,11,0.40735930032936435,0.1963317474484563,0.3616324625512453,0.12265817354236533,19,10,64,10,46
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,12,0.378153557972133,0.18879906174619968,0.36481963746917856,0.12214750722740886,19,10,64,10,46
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,13,0.3460052388087991,0.175493170561732,0.35790855893318296,0.12427275899050808,19,11,65,11,47
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,14,0.3536624489459946,0.17398365946624966,0.36585928704710785,0.12016825966805633,19,12,66,12,48
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,15,0.3673414915626175,0.185759367069658,0.3726895349320132,0.11969691134714106,19,12,66,12,48
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,16,0.37914395504162274,0.16541837608508791,0.31635930206130847,0.11949640938429555,18,12,63,12,46
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,17,0.44499211730824073,0.16037948597711507,0.30506371414134276,0.11837683237360616,19,12,66,12,48
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,18,0.40714997770597167,0.17794770592083212,0.3014392022348116,0.12167571438502373,20,12,69,12,50
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,19,0.33576136755983593,0.1839280841836929,0.289924442626444,0.119118195137489,19,12,66,12,48
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,30,0.25,0.5,20,0.3948888735294016,0.1894519457091264,0.31312628453378877,0.11927401946449251,18,13,64,13,47
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.25,0.5,0,0.5788580154135573,0.17610244007124315,0.25519762226122733,0.10314849613622844,21,9,69,9,49
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.25,0.5,1,0.4998553190781101,0.17255934368292658,0.23931552880941054,0.10247185642502742,21,9,69,9,49
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.25,0.5,2,0.3858568184000716,0.14615691464668218,0.2659298637798841,0.11024603560035258,22,8,71,8,50
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.25,0.5,3,0.37706958630893717,0.15665096662384753,0.29337307432625825,0.11282273192599528,22,8,71,8,50
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.25,0.5,4,0.4323131377602899,0.14700112286575406,0.3066938705068941,0.11075325493069525,21,8,68,8,48
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.25,0.5,5,0.4093553753154023,0.1327684145831377,0.31654731202774034,0.11097064499440476,21,9,69,9,49
AE097F3A-14FD-4735-A19B-8FD343CA3346,30,0.25,0.5,6,0.29126992422266473,0.14699236280193842,0.31645384401464804,0.10961831222598659,20,10,67,10,48
