uuid,nesting ratio and bias,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.0-0.0,0.3988532970812448,0.08488239299037505,0.17856896251500645,0.08488239299037505
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-0.0,0.3596057521207476,0.11038223628144965,0.32155727613692286,0.11038223628144965
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-0.5,0.42546544805792325,0.12510544849716337,0.28122169868444213,0.12510544849716337
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-1.0,0.40656426131958445,0.09961251863585188,0.2524131752235237,0.09961251863585188
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-0.0,0.42876146040039875,0.1286732765186748,0.3175101486234041,0.1286732765186748
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-0.5,0.3558829271854264,0.12256108730076452,0.29293179777742845,0.12256108730076452
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-1.0,0.37681294718258573,0.14167297838057394,0.311133983671526,0.14167297838057394
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.0-0.0,0.4055137938835943,0.08662429499073229,0.18045023148938177,0.08662429499073229
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-0.0,0.39673517184333806,0.11698455996388216,0.23353637531831561,0.11698455996388216
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-0.5,0.4052854673058551,0.12685139598858836,0.32251748945654374,0.12685139598858836
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-1.0,0.33546240460237625,0.10884269523210979,0.30851552903271545,0.10884269523210979
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-0.0,0.43139322735482744,0.15298560345168338,0.35070305669960217,0.15298560345168338
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-0.5,0.3613805078694501,0.13309098184473384,0.32659653403538036,0.13309098184473384
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-1.0,0.39649224199455213,0.12287997333541771,0.28898233224500935,0.12287997333541771
B78027F8-1112-454B-BF89-C30F71C6BC55,0.0-0.0,0.3823028749383141,0.09782430639702579,0.21121506178106345,0.09782430639702579
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-0.0,0.31320226673792,0.12452868678291941,0.37313342823326406,0.12452868678291941
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-0.5,0.3555435120985493,0.12368297491343223,0.2600211684293251,0.12368297491343223
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-1.0,0.28928647402488095,0.1131647017698465,0.2954244349964409,0.1131647017698465
B78027F8-1112-454B-BF89-C30F71C6BC55,0.5-0.0,0.37754192178478807,0.13374257062139897,0.32793825231348106,0.13374257062139897
B78027F8-1112-454B-BF89-C30F71C6BC55,0.5-0.5,0.3621391066956761,0.12607735012939003,0.24510801498263068,0.12607735012939003
B78027F8-1112-454B-BF89-C30F71C6BC55,0.5-1.0,0.4243108127304249,0.1288425920542339,0.34994492718910786,0.1288425920542339
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.0-0.0,0.40034466594378887,0.09267291183405271,0.33287293574376475,0.09267291183405271
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.25-0.0,0.5380290986292475,0.11219122123714194,0.31081079495908104,0.11219122123714194
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.25-0.5,0.2952474732457642,0.10691457821902141,0.2836557428882188,0.10691457821902141
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.25-1.0,0.37145960414055823,0.11117245115945944,0.24496816554096268,0.11117245115945944
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.5-0.0,0.35527731110847416,0.13342799809445685,0.332600358232335,0.13342799809445685
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.5-0.5,0.3325559560348272,0.12615936131115507,0.3414728878417922,0.12615936131115507
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.5-1.0,0.40347563566479583,0.12182127237549407,0.36054293918145075,0.12182127237549407
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.0-0.0,0.36418958194312867,0.10450172618193741,0.27278593624078196,0.10450172618193741
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.25-0.0,0.30073235324379993,0.1068778276900044,0.31016813522742914,0.1068778276900044
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.25-0.5,0.36253909666067996,0.1064454814313208,0.30816683092377983,0.1064454814313208
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.25-1.0,0.3753984125398177,0.10975281668313769,0.24751807970449596,0.10975281668313769
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.5-0.0,0.3911138307017341,0.13443320224289826,0.3940536513517321,0.13443320224289826
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.5-0.5,0.45510272440669264,0.13503231529373688,0.295943366347899,0.13503231529373688
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.5-1.0,0.34822400073498083,0.12451380264851988,0.32710883676493396,0.12451380264851988
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.0-0.0,0.407423379808074,0.09033813053984521,0.19274003509563836,0.09033813053984521
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.25-0.0,0.40421838034781277,0.09723140128300523,0.3137784289536342,0.09723140128300523
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.25-0.5,0.4099859440757935,0.1183864330201687,0.24738871876406035,0.1183864330201687
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.25-1.0,0.36780856742619966,0.11540936600502687,0.23604774486513086,0.11540936600502687
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.5-0.0,0.6029861634454532,0.14263429387731708,0.387616475225808,0.14263429387731708
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.5-0.5,0.4340275528408457,0.12714795164222056,0.40125130762024475,0.12714795164222056
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,0.5-1.0,0.37902891283127776,0.12211708023556522,0.30873709845091807,0.12211708023556522
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,0.0-0.0,0.3502713539396608,0.08187244259755212,0.20934738749899665,0.08187244259755212
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,0.25-0.0,0.3660651620099177,0.1021911849523113,0.26722745627160915,0.1021911849523113
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,0.25-0.5,0.4023033817823667,0.11122128846941039,0.2588267233782163,0.11122128846941039
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,0.25-1.0,0.49183799526204497,0.10864308795550275,0.264807176760851,0.10864308795550275
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,0.5-0.0,0.5083847204422846,0.13094740403082802,0.3895915997733731,0.13094740403082802
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,0.5-0.5,0.43597473675586834,0.13805641065955573,0.34374916442813996,0.13805641065955573
1150B156-3AD6-406A-808B-CCBD3CC5DD1D,0.5-1.0,0.38231127930115794,0.12896486342030516,0.34844023483539244,0.12896486342030516
88F1EBAD-5195-4066-986D-8F5C55B30E9F,0.0-0.0,0.4243331233223964,0.08616056324224751,0.2210458937809065,0.08616056324224751
88F1EBAD-5195-4066-986D-8F5C55B30E9F,0.25-0.0,0.4022460099930129,0.11345994127321599,0.2545070887496337,0.11345994127321599
88F1EBAD-5195-4066-986D-8F5C55B30E9F,0.25-0.5,0.4159346292774981,0.12069564234845796,0.3881148093755722,0.12069564234845796
88F1EBAD-5195-4066-986D-8F5C55B30E9F,0.25-1.0,0.5125137471074083,0.10599592416662258,0.24478666744397468,0.10599592416662258
88F1EBAD-5195-4066-986D-8F5C55B30E9F,0.5-0.0,0.4626840826947426,0.15308340548887955,0.3474085496373245,0.15308340548887955
88F1EBAD-5195-4066-986D-8F5C55B30E9F,0.5-0.5,0.40184429195648175,0.14292949831727314,0.3800658833307017,0.14292949831727314
88F1EBAD-5195-4066-986D-8F5C55B30E9F,0.5-1.0,0.4055989245573423,0.12953068657154512,0.351413945986887,0.12953068657154512
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,0.0-0.0,0.27321616355305905,0.100766946578512,0.24385086184094357,0.100766946578512
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,0.25-0.0,0.32545685945042335,0.10694103949958116,0.264981133161716,0.10694103949958116
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,0.25-0.5,0.4044117579274881,0.11867979014516912,0.36437915429723544,0.11867979014516912
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,0.25-1.0,0.48349713056976384,0.12171730803719615,0.36958907573992217,0.12171730803719615
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,0.5-0.0,0.49634975204490045,0.13483285736912612,0.3352400393882886,0.13483285736912612
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,0.5-0.5,0.42361129803227415,0.1381413622936983,0.3421912618958175,0.1381413622936983
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,0.5-1.0,0.29939464840045665,0.13117739521750557,0.3487589833258673,0.13117739521750557
0193712D-1640-404A-A12D-D4E5B546EA54,0.0-0.0,0.38055261905707455,0.09426148792533455,0.16233377332428414,0.09426148792533455
0193712D-1640-404A-A12D-D4E5B546EA54,0.25-0.0,0.3463820516564173,0.12099837042408663,0.35080612570720854,0.12099837042408663
0193712D-1640-404A-A12D-D4E5B546EA54,0.25-0.5,0.43695234652894505,0.11752623809802436,0.2721782625533058,0.11752623809802436
0193712D-1640-404A-A12D-D4E5B546EA54,0.25-1.0,0.3703197423231198,0.11611378056281822,0.3554389193008586,0.11611378056281822
0193712D-1640-404A-A12D-D4E5B546EA54,0.5-0.0,0.3307034747289423,0.1327787256168339,0.393411959743443,0.1327787256168339
0193712D-1640-404A-A12D-D4E5B546EA54,0.5-0.5,0.40661884113873153,0.11967027558844097,0.34845600882002437,0.11967027558844097
0193712D-1640-404A-A12D-D4E5B546EA54,0.5-1.0,0.410975326814935,0.14076622728772256,0.3602814840118845,0.14076622728772256
AE097F3A-14FD-4735-A19B-8FD343CA3346,0.0-0.0,0.3406813164601619,0.08431842878315446,0.18487230817907307,0.08431842878315446
AE097F3A-14FD-4735-A19B-8FD343CA3346,0.25-0.0,0.44135945567208107,0.11425385844232522,0.318924755495299,0.11425385844232522
AE097F3A-14FD-4735-A19B-8FD343CA3346,0.25-0.5,0.32684648401153144,0.11020274632884794,0.2887855043968518,0.11020274632884794
AE097F3A-14FD-4735-A19B-8FD343CA3346,0.25-1.0,0.37650011426090996,0.1308951566768889,0.3125493329190725,0.1308951566768889
AE097F3A-14FD-4735-A19B-8FD343CA3346,0.5-0.0,0.3731580322350369,0.11825781601420267,0.2768058394885794,0.11825781601420267
