uuid,nesting ratio and bias,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.0-0.0,0.3375525783427693,0.09381973361554836,0.22290431831343138,0.09381973361554836
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-0.0,0.3160063343532877,0.10776713479815296,0.20186022751543461,0.10776713479815296
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-0.5,0.4339878486584701,0.12819813194950028,0.40112265354041066,0.12819813194950028
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-1.0,0.3368095424076561,0.10177710920219926,0.22586326774373272,0.10177710920219926
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-0.0,0.490591364556789,0.1375707332645442,0.29633435199307534,0.1375707332645442
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-0.5,0.40564304595861644,0.13688634950304793,0.29024937360540076,0.13688634950304793
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-1.0,0.3966719627235053,0.14436417974513652,0.2981863161185832,0.14436417974513652
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.0-0.0,0.3201334428465831,0.09975592438601295,0.22160766487268585,0.09975592438601295
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-0.0,0.3984761839390133,0.1054087463830794,0.25590886715175587,0.1054087463830794
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-0.5,0.4151972292923892,0.11774559360852631,0.2524388977269896,0.11774559360852631
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-1.0,0.32990476834112276,0.12691444999953275,0.2942671466227952,0.12691444999953275
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-0.0,0.33117173078135015,0.13229774435893676,0.3240143161239585,0.13229774435893676
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-0.5,0.33599058004733323,0.13119297340769592,0.4029722019585247,0.13119297340769592
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-1.0,0.4536251442040531,0.14122167180826709,0.29263004256683195,0.14122167180826709
B78027F8-1112-454B-BF89-C30F71C6BC55,0.0-0.0,0.38619382605767083,0.10472076521116246,0.2642885576710303,0.10472076521116246
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-0.0,0.3079295211965205,0.11623274967698548,0.23375494616145376,0.11623274967698548
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-0.5,0.33692096919694087,0.10665506160657091,0.2836859792682064,0.10665506160657091
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-1.0,0.302804158425008,0.11330624783614524,0.2702188263043447,0.11330624783614524
B78027F8-1112-454B-BF89-C30F71C6BC55,0.5-0.0,0.4117789634331674,0.13918511268258332,0.4029753104186937,0.13918511268258332
B78027F8-1112-454B-BF89-C30F71C6BC55,0.5-0.5,0.45128226951792255,0.15024811395450235,0.35665435983302696,0.15024811395450235
B78027F8-1112-454B-BF89-C30F71C6BC55,0.5-1.0,0.36046297741430056,0.12388438644927365,0.26865045971264984,0.12388438644927365
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.0-0.0,0.3547152594653905,0.08758326983210862,0.21207100615733018,0.08758326983210862
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.25-0.0,0.37069373544475465,0.1114945218047884,0.24353174257398558,0.1114945218047884
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.25-0.5,0.36893765909200543,0.12519108353583552,0.2595982962274741,0.12519108353583552
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.25-1.0,0.4276915828986141,0.11844874810094325,0.22829116685487585,0.11844874810094325
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.5-0.0,0.37690177814682024,0.14705528986819918,0.42723055568757806,0.14705528986819918
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.5-0.5,0.35897586589336433,0.14100663036809716,0.3805260694925379,0.14100663036809716
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,0.5-1.0,0.45381086452245695,0.14345512269672667,0.30445364613314857,0.14345512269672667
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.0-0.0,0.40548620915005884,0.09765318554636615,0.19481662752605972,0.09765318554636615
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,0.25-0.0,0.33788338338893165,0.12786790246839008,0.4336813690569978,0.12786790246839008
