uuid,nesting ratio and bias,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.0-0.0,0.4301346031332854,0.09111639149778268,0.2178019639714444,0.09111639149778268
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-0.0,0.3006664998781543,0.11210470990760829,0.3249971382857423,0.11210470990760829
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-0.5,0.41001047579189515,0.11972174539249947,0.29113035082209116,0.11972174539249947
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.25-1.0,0.3817836561749493,0.1033927338447827,0.3227110177557988,0.1033927338447827
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-0.0,0.36662111395076324,0.12283242287119994,0.3174520992207419,0.12283242287119994
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-0.5,0.3910090300942685,0.12322600531494834,0.3146860938244598,0.12322600531494834
4D721EDD-2FAD-49F4-875C-A0945C9A0471,0.5-1.0,0.44942818985922844,0.1426702852994702,0.32464321701876964,0.1426702852994702
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.0-0.0,0.37722748745938356,0.09037717877202683,0.19391078221580063,0.09037717877202683
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-0.0,0.3899966694391158,0.1111358255820955,0.205239706063793,0.1111358255820955
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-0.5,0.4244394112606042,0.12619638587789486,0.3461483548648473,0.12619638587789486
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.25-1.0,0.3959614713301377,0.10777616784237126,0.2863839219849686,0.10777616784237126
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-0.0,0.3746487678456382,0.15262638777447857,0.39627163197632564,0.15262638777447857
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-0.5,0.46417146898669503,0.13004474962196694,0.3284889302490449,0.13004474962196694
3052AEDB-2B8F-4821-A91A-47513BA26DEB,0.5-1.0,0.3115436656846202,0.13847319062829488,0.3763983091985123,0.13847319062829488
B78027F8-1112-454B-BF89-C30F71C6BC55,0.0-0.0,0.4133667708647021,0.10219823833095594,0.2020876497110431,0.10219823833095594
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-0.0,0.29816491104340315,0.12102616215791179,0.3267797099053682,0.12102616215791179
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-0.5,0.45080108730103446,0.12911338689010887,0.28486502079631704,0.12911338689010887
B78027F8-1112-454B-BF89-C30F71C6BC55,0.25-1.0,0.41720392273104445,0.11200971359276045,0.2722758111522432,0.11200971359276045
