uuid,initial number of clusters,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity,number of internal vertices in cluster graph,number of external vertices in cluster graph,number of internal edges in cluster graph,number of external edges in cluster graph,number of faces in cluster graph
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,0,0.33719367432184544,0.15624156518088755,0.3276709114823722,0.11649281564638247,14,6,45,6,32
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,1,0.2567849259974951,0.10655944891746463,0.34075873398765366,0.11936203564413798,15,5,47,5,33
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,2,0.24036263400982968,0.11314183135288065,0.3523623987380958,0.12225720561174534,14,5,44,5,31
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,3,0.3042058284657213,0.10419222806328363,0.33055832243599104,0.12770631409627584,13,5,41,5,29
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,4,0.37636239885709566,0.12387890539333853,0.2926348119101765,0.1282640104485984,13,5,41,5,29
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,5,0.26071509702210305,0.11417362596782672,0.27356056319296324,0.13186672114788967,14,5,44,5,31
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,6,0.29287081746189336,0.10103132421534422,0.2807999284352967,0.1288165927104943,13,6,42,6,30
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,7,0.3389259430733319,0.1091530906291601,0.30115966444786557,0.1255546713420279,14,6,45,6,32
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,8,0.39342127252298076,0.1074383014635392,0.29425477526339416,0.1180074196174177,14,7,46,7,33
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,9,0.3849388492731158,0.12956309239230987,0.28627546766355966,0.12480917842315795,15,6,48,6,34
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,10,0.27561109229653097,0.10918897021850317,0.2893701086370367,0.12559807058762842,14,7,46,7,33
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,11,0.30658877925256034,0.10811073269267558,0.2817353876924165,0.12118949602069855,14,8,47,8,34
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,12,0.24699522553428202,0.12180027162706789,0.28089713216206164,0.12489285967091465,14,7,46,7,33
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,13,0.30065253290543004,0.13485012205202948,0.2717294915840704,0.12526683282549209,13,7,43,7,31
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,14,0.25235828463469795,0.09015532518070359,0.2555523225743519,0.12589151521610015,13,6,42,6,30
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,15,0.23068422348180034,0.10229471950672481,0.2800653386582618,0.12860641947527096,14,5,44,5,31
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,16,0.16503300608730004,0.07678533877736424,0.30069844088458164,0.12482315887315618,14,6,45,6,32
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,17,0.2802534138565155,0.1175665306357556,0.2993190579517083,0.1296960577764714,15,6,48,6,34
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,18,0.30933095093907004,0.11762587466297524,0.3260424229922227,0.12996389953745446,16,6,51,6,36
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,19,0.3818134400137708,0.11892844657881169,0.34517455490434695,0.1395469404681526,17,5,53,5,37
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,20,0.5,0.99,20,0.29604139047388484,0.13408161180471592,0.3595603283376507,0.13810646553079026,17,5,53,5,37
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,0,0.6909976598346067,0.26002945450985215,0.2959723543202265,0.127269391853525,13,7,43,7,31
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,1,0.46890628574061166,0.18113693503570125,0.27126226837631034,0.12251821997579337,13,7,43,7,31
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,2,0.4229724071180056,0.15272978627012604,0.338066601976428,0.130286625537592,14,6,45,6,32
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,3,0.34576614775966086,0.11642119197112936,0.335550781295799,0.13192339024932795,15,5,47,5,33
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,4,0.33543618456245955,0.10520682389687892,0.3459481961330705,0.13747032797895423,14,5,44,5,31
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,5,0.2182426124993705,0.0955105560385907,0.3396302284972609,0.1294509722716431,15,5,47,5,33
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,6,0.18324422924404093,0.09965606907552367,0.3328911584587715,0.1285248172717328,14,6,45,6,32
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,7,0.2615157226303291,0.12463135409159617,0.3614763187668678,0.12846968050696506,15,6,48,6,34
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,8,0.24035578253280965,0.10123686005014806,0.3574232481896542,0.127615899322408,14,7,46,7,33
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,9,0.352118808576126,0.10050960029160302,0.32764164495355674,0.1285225046545218,13,7,43,7,31
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,10,0.2948092054558961,0.1204561189687901,0.34321561308837767,0.128366227439625,14,7,46,7,33
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,11,0.3501442871910141,0.10255267538564815,0.3209916210539557,0.12501572041030073,14,8,47,8,34
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,12,0.36970269841013,0.1293905860162252,0.3325239520225521,0.12982712725514908,14,7,46,7,33
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,13,0.32142731734996755,0.11601342457938452,0.365161000050808,0.13602839806604639,15,6,48,6,34
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,14,0.3091262477491293,0.12626592951291107,0.3497926316312215,0.13434340779847526,14,7,46,7,33
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,15,0.4083073509305716,0.14457031520956656,0.36405418169284154,0.1387276417198658,15,7,49,7,35
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,16,0.46251586477119416,0.1773308299671653,0.3601938765959992,0.143035476998382,16,7,52,7,37
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,17,0.4175634641757962,0.16703198159006669,0.3627398443311187,0.14059592881498686,15,8,50,8,36
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,18,0.4097231367823909,0.15493384437549526,0.36699579451557096,0.14024537204625678,15,9,51,9,37
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,19,0.45647708676649057,0.15319849287156853,0.369618506968712,0.13483928869124598,14,9,48,9,35
AE097F3A-14FD-4735-A19B-8FD343CA3346,20,0.5,0.99,20,0.41423408852582816,0.1564902414188087,0.37248969380898606,0.13139331186391373,14,9,48,9,35
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,0,0.7075868041954705,0.2192338867165347,0.32481968367285563,0.13281477033255645,14,6,45,6,32
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,1,0.5515313072158639,0.19367456977295422,0.29992122148367406,0.13082476394705844,13,6,42,6,30
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,2,0.3615383928146707,0.1507492890701032,0.27256301963185803,0.12680075285634587,12,6,39,6,28
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,3,0.3639195856164462,0.14215256754055308,0.2769195713552032,0.12164456604401809,11,7,37,7,27
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,4,0.2553042724752741,0.11950274971273693,0.2672874687920821,0.1239751352113854,12,7,40,7,29
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,5,0.2827574159283998,0.12590585985167047,0.2945581566416128,0.12377036809276647,12,8,41,8,30
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,6,0.3331144328553486,0.11830062978181324,0.29422960721406016,0.12439492717311247,11,9,39,9,29
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,7,0.34990910977988393,0.12105227330754509,0.306142026840307,0.12903556835275623,11,8,38,8,28
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,8,0.31190409012684706,0.13725858501453353,0.33738007669191084,0.1364971530284739,12,8,41,8,30
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,9,0.25040815806050937,0.11501541991859525,0.3477244721514855,0.13839920658221866,13,8,44,8,32
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,10,0.3020248140745323,0.11638595816150503,0.35117879448564976,0.13331454490657993,12,9,42,9,31
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,11,0.2819812050947824,0.09122831024429244,0.35817963149168514,0.13108816692674752,12,10,43,10,32
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,12,0.26784506945106284,0.10528145743215299,0.34284652273522986,0.13218387125753514,13,9,45,9,33
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,13,0.3289307116449298,0.12085525507352833,0.3420463256647716,0.12994979119841193,13,9,45,9,33
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,14,0.28474045917352914,0.12051999966894344,0.35264947078020425,0.13060882987080624,13,8,44,8,32
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,15,0.31340203469051037,0.14931252194622283,0.3479684601400568,0.12780620832665363,13,9,45,9,33
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,16,0.27174430902385177,0.13404455683949873,0.33572003022933367,0.1271023157646977,13,8,44,8,32
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,17,0.5022282423109752,0.16033495020181657,0.3391902893500274,0.12184080595786924,13,9,45,9,33
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,18,0.34850080303489955,0.17218925315531347,0.4127045486605089,0.1285310314409889,14,9,48,9,35
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,19,0.3254110000658245,0.16048385412075297,0.39362281479174477,0.1278696523452831,13,9,45,9,33
4C84D073-8E95-4BB3-924D-8AE018CB08EB,20,0.5,0.99,20,0.34113841747364587,0.15486740239508076,0.3842831344319438,0.1296601748541067,13,8,44,8,32
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,0,0.6023558552761132,0.18646002285572977,0.3267314601059108,0.11236822518618503,12,8,41,8,30
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,1,0.34962519111976476,0.157337337676649,0.29770136129832225,0.10931204924320749,13,8,44,8,32
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,2,0.25846478544581764,0.1150892084586403,0.30425164783195474,0.1177051616777987,14,7,46,7,33
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,3,0.23312331508218365,0.09123700429292028,0.34878667062042495,0.11543868273649613,14,7,46,7,33
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,4,0.2395485732642271,0.10285579288469393,0.37161871070093444,0.12479779305684742,15,6,48,6,34
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,5,0.20954992872841835,0.10586542921603061,0.34225850356885085,0.1207472417115066,14,7,46,7,33
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,6,0.2855741415705925,0.12084355921969848,0.37290731418300843,0.12771442701877828,15,6,48,6,34
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,7,0.17688779119551212,0.07961918282075568,0.38638694094113546,0.12455927165463358,14,7,46,7,33
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,8,0.22316037533772415,0.09067937943279987,0.38344148544189105,0.12384042811644844,13,7,43,7,31
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,9,0.18589285945507086,0.07241939889987978,0.3799007201503755,0.12789249360797267,14,6,45,6,32
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,10,0.17857992096761172,0.07827365905995431,0.37609179816707716,0.12510922452936818,14,7,46,7,33
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,11,0.40853942639475016,0.11214508063265452,0.3664311600952019,0.12337618516517015,13,7,43,7,31
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,12,0.2682470464939348,0.125087785137784,0.3553962604311098,0.12293951841884013,13,7,43,7,31
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,13,0.327397312701669,0.13579167431420616,0.3532151642296979,0.1255675030649398,13,6,42,6,30
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,14,0.256038246612712,0.10043324229470024,0.34922052353553834,0.1313633727992041,14,5,44,5,31
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,15,0.2639201783188817,0.12121168692230706,0.3500876524893726,0.13107881832718793,15,5,47,5,33
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,16,0.3107210206464068,0.13611801507841917,0.3496292441184653,0.12825616386929997,15,6,48,6,34
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,17,0.2190085095904797,0.10978369547200875,0.34369984797637165,0.12631665862789535,15,7,49,7,35
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,18,0.26019002023174703,0.12880936659101366,0.34279040016691936,0.12730969673273054,14,8,47,8,34
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,19,0.3134772381180736,0.12731383428826631,0.29756473099325453,0.12979174168401003,13,8,44,8,32
450053F2-5F0A-4CFE-8A08-92CC201A07B9,20,0.5,0.99,20,0.2847351994849267,0.10895918948119403,0.2865923632405336,0.13130056953842073,12,8,41,8,30
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,0,0.6014587804964575,0.2176897583461435,0.3523940680512301,0.13311378411374808,13,7,43,7,31
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,1,0.5492504387904016,0.1644040647685486,0.35238163635801567,0.13945157095924537,14,6,45,6,32
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,2,0.5214752629694777,0.16794967852019843,0.3491020087990795,0.1380375476175409,14,7,46,7,33
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,3,0.40551475886842,0.1587540750827102,0.33522499189987776,0.1407392166497624,14,6,45,6,32
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,4,0.3022889988603738,0.13134852110512016,0.3121002173606648,0.1325037617659182,14,6,45,6,32
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,5,0.34855197042823843,0.13778130978575606,0.30084494372833404,0.12076011293121544,15,6,48,6,34
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,6,0.3309064116483554,0.13412958497444108,0.2810454274548748,0.12140137008460934,14,7,46,7,33
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,7,0.3732937711989966,0.14839889533114548,0.2858674115319125,0.12561263325951488,15,6,48,6,34
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,8,0.40791327753749135,0.1381029598894227,0.29091969789865835,0.12478104172368434,15,6,48,6,34
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,9,0.365184526856361,0.12656176292836963,0.3012760872807303,0.12922926017433473,16,5,50,5,35
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,10,0.3527799148312707,0.12864980799963274,0.29288722852923127,0.13115546206043988,15,5,47,5,33
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,11,0.4046861813365551,0.13522759994144581,0.32054242117285925,0.131301495779221,15,6,48,6,34
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,12,0.39084001380801753,0.1338987352977284,0.3379374124351067,0.1401162355664906,16,5,50,5,35
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,13,0.3106219142549747,0.11660334484948884,0.3517841871572879,0.13757427747504794,16,6,51,6,36
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,14,0.3160988448860265,0.12925434673567776,0.34485631868240607,0.13934517819679865,16,5,50,5,35
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,15,0.42192774556471957,0.14698946177017946,0.3459850975709178,0.1332420694743449,16,6,51,6,36
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,16,0.35522872167962927,0.12910652050676208,0.3418938443372672,0.13066181564871723,16,7,52,7,37
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,17,0.4198821913845676,0.13876239862732787,0.33730123843188214,0.1294718608614516,15,8,50,8,36
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,18,0.43810096503109053,0.15759488341181702,0.3348509491334265,0.1329695980104132,16,7,52,7,37
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,19,0.4417555176731292,0.1714133912984241,0.33505752334559225,0.13007064398033433,15,7,49,7,35
9BA67779-50C2-483B-8E81-916125D5D3F7,20,0.5,0.99,20,0.23198748521300594,0.13081382141484618,0.3397263916160635,0.13009708390362193,14,8,47,8,34
