uuid,number of vertices,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity
4D721EDD-2FAD-49F4-875C-A0945C9A0471,10,0.3080378929590961,0.10941466427407466,0.16765646926953637,0.10941466427407466
4D721EDD-2FAD-49F4-875C-A0945C9A0471,15,0.2886865017222114,0.12154253782489607,0.2915834837652419,0.12154253782489607
4D721EDD-2FAD-49F4-875C-A0945C9A0471,20,0.37679186485543875,0.13117322814591123,0.3422331095607446,0.13117322814591123
4D721EDD-2FAD-49F4-875C-A0945C9A0471,25,0.3154883941406003,0.1346932197032844,0.31730852145861776,0.1346932197032844
4D721EDD-2FAD-49F4-875C-A0945C9A0471,30,0.40983262125881176,0.1322468021912165,0.3420232662561135,0.1322468021912165
3052AEDB-2B8F-4821-A91A-47513BA26DEB,10,0.40460133634302264,0.1599891606365596,0.4571040380164794,0.1599891606365596
3052AEDB-2B8F-4821-A91A-47513BA26DEB,15,0.2891241789066209,0.13495938882711828,0.35333156086144013,0.13495938882711828
3052AEDB-2B8F-4821-A91A-47513BA26DEB,20,0.44579179306995187,0.11404821895982582,0.28105271720266006,0.11404821895982582
3052AEDB-2B8F-4821-A91A-47513BA26DEB,25,0.41269627560232225,0.1199691657329799,0.3438150725315223,0.1199691657329799
3052AEDB-2B8F-4821-A91A-47513BA26DEB,30,0.38732058361038996,0.15425312669944313,0.396794705476907,0.15425312669944313
B78027F8-1112-454B-BF89-C30F71C6BC55,10,0.18643828524384637,0.10339938556805955,0.2752650803404125,0.10339938556805955
B78027F8-1112-454B-BF89-C30F71C6BC55,15,0.3279054513579572,0.12563625411282317,0.3437548921445367,0.12563625411282317
B78027F8-1112-454B-BF89-C30F71C6BC55,20,0.25737147625184403,0.134122990195624,0.2766174790504129,0.134122990195624
B78027F8-1112-454B-BF89-C30F71C6BC55,25,0.20403473557143617,0.13400995356126524,0.5025048666870062,0.13400995356126524
B78027F8-1112-454B-BF89-C30F71C6BC55,30,0.38035427121219817,0.13245043316045865,0.38774963580979305,0.13245043316045865
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,10,0.2313342127299142,0.12435867915673367,0.33863729858549707,0.12435867915673367
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,15,0.4846267653125275,0.15681754509110837,0.3952684857327503,0.15681754509110837
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,20,0.3585591348707143,0.12429152004129786,0.3652478371716488,0.12429152004129786
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,25,0.37456314922192646,0.14333248996599143,0.3500000393391467,0.14333248996599143
CFF4725C-241F-4F0D-8E38-3D45933FB1B6,30,0.5110920400270639,0.13571056867736658,0.3922270525920679,0.13571056867736658
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,10,0.34507134970697023,0.14606153596533533,0.3904484933922222,0.14606153596533533
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,15,0.2515268487729673,0.14083075324663374,0.389884421693098,0.14083075324663374
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,20,0.3539679695173742,0.14847376668913007,0.3950090585761,0.14847376668913007
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,25,0.4386266428891454,0.11781043913979197,0.2964606009909099,0.11781043913979197
1F171CDF-484F-4AA0-B568-2E8B28EDFAFC,30,0.5225266843269774,0.12912170458491037,0.4316854107698347,0.12912170458491037
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,10,0.3397501759461583,0.14867536185761387,0.3813094280388172,0.14867536185761387
3A81A32A-C893-4B1E-AC74-A8FE60E3760A,15,0.16526951054264738,0.09339367726679978,0.20961451399828313,0.09339367726679978
