uuid,initial number of clusters,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity,number of internal vertices in cluster graph,number of external vertices in cluster graph,number of internal edges in cluster graph,number of external edges in cluster graph,number of faces in cluster graph
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,0,0.7535611612612579,0.20019415224594808,0.2613063725627243,0.1277145356219737,19,6,60,6,42
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,1,0.6881602136917484,0.1864856384795868,0.2529419889257625,0.12311573296484085,19,6,60,6,42
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,2,0.46791416287734494,0.18834607002172868,0.2740833179732753,0.12149501488535125,19,7,61,7,43
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,3,0.3724818643843046,0.1768569935094271,0.30763668311299047,0.12493297006752023,20,7,64,7,45
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,4,0.49307224403690814,0.16370721769320967,0.3179930641795141,0.12889602683990678,19,7,61,7,43
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,5,0.3675232528758908,0.1448873854706254,0.3263869207395754,0.12739006431197789,20,6,63,6,44
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,6,0.3152074014077494,0.14825265850394995,0.32799419327528273,0.12297156690811212,20,7,64,7,45
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,7,0.3715911336109258,0.12996570525808251,0.32363634139369146,0.11963225667991272,19,7,61,7,43
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,8,0.40290216950452085,0.1582566280500817,0.31486679642162047,0.11891677057385443,19,7,61,7,43
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,9,0.3941642188602154,0.14455716040274696,0.31312039575681283,0.12011321411426683,18,8,59,8,42
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,10,0.28099751346790136,0.12902918430971025,0.3034476049073601,0.11841951400222586,17,9,57,9,41
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,11,0.35176239906249973,0.14305992918577778,0.30775816307429704,0.12316481716121015,18,8,59,8,42
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,12,0.36862647293493633,0.11440227296551173,0.3180088751017778,0.11976694878652715,18,9,60,9,43
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,13,0.24861397718781106,0.11976534183898199,0.32006101903095036,0.11723885686013179,18,8,59,8,42
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,14,0.3237999257587684,0.13727887112380086,0.31575824590103047,0.122727116669125,18,8,59,8,42
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,15,0.29634948939055583,0.16524594853182728,0.3076458084674599,0.12640342112492864,17,8,56,8,40
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,16,0.38725934700225323,0.17394069857781333,0.3316232388968744,0.13013648128475994,18,7,58,7,41
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,17,0.36133500134349744,0.17925542385989213,0.33162391881736075,0.13278838844627175,19,7,61,7,43
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,18,0.362983399075228,0.15979014162431432,0.3330226654955495,0.13143433774114374,19,7,61,7,43
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,19,0.41744256754864484,0.13551472038862225,0.3370706100284899,0.13258344198447655,19,7,61,7,43
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.5,20,0.42276838110702203,0.16742308577678108,0.3290398269326267,0.13300097837949132,20,7,64,7,45
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,0,0.830102969181628,0.2001605386884541,0.3311470007337748,0.14444928948162303,19,6,60,6,42
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,1,0.7360369123453532,0.17116798019716503,0.31777908221283996,0.1360768358656317,19,7,61,7,43
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,2,0.405613166649775,0.1529752177984678,0.3381932561055534,0.13219695962415037,18,8,59,8,42
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,3,0.33726312089817556,0.13842087114875745,0.36153583907533726,0.13414873116510553,19,7,61,7,43
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,4,0.3087890229733449,0.13970603041517446,0.36648070062756255,0.13357125231924377,18,8,59,8,42
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,5,0.37262707114991106,0.12654719051993973,0.36379321223992855,0.1275974911968817,18,9,60,9,43
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,6,0.37560131212613357,0.12466802546391335,0.3578354047970658,0.12369392780797987,17,10,58,10,42
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,7,0.42356045915041646,0.1318488662955472,0.35596428239488265,0.12391137910728575,17,9,57,9,41
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,8,0.34566089211295337,0.13593040351406052,0.35915382976304766,0.1190148193616716,17,10,58,10,42
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,9,0.3966723480296188,0.11254534095020084,0.37118568543634795,0.11641426239676635,16,10,55,10,40
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,10,0.36360403296470173,0.11294427330872184,0.3640030804807677,0.11356049226283814,17,10,58,10,42
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,11,0.44110164403806995,0.14916771815544722,0.3443490697324884,0.1128115757521396,16,10,55,10,40
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,12,0.45955510764237056,0.16057694144873408,0.3313759352937276,0.11483797193311106,17,9,57,9,41
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,13,0.4292477737829684,0.15303758483602894,0.33316909898203106,0.11784789690578978,17,8,56,8,40
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,14,0.4120416163393564,0.1234610427214425,0.333108614692652,0.11780067063438814,17,9,57,9,41
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,15,0.3921904305827098,0.13242152290028902,0.3330434202803458,0.11281205016529,16,9,54,9,39
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,16,0.349612989602525,0.14706977519367548,0.3595820117740012,0.11680933662555956,16,10,55,10,40
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,17,0.40669310987998253,0.1764800380689098,0.34739827732886125,0.11656698613121806,17,9,57,9,41
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,18,0.31591402796589096,0.14993113248778425,0.3254309840070634,0.11587552381454877,16,9,54,9,39
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,19,0.38814363021060394,0.168735882352956,0.2993785179818652,0.11144158906103861,17,9,57,9,41
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.5,20,0.3429410049398293,0.15040018584754453,0.3025873230923052,0.10955686649275062,16,10,55,10,40
4C84D073-8E95-4BB3-924D-8AE018CB08EB,25,0.25,0.5,0,0.8784670994101482,0.28659336191692986,0.28199214834548664,0.12695976580708257,15,10,52,10,38
4C84D073-8E95-4BB3-924D-8AE018CB08EB,25,0.25,0.5,1,0.7291908883861336,0.23478886191230466,0.28073860067157175,0.12671527189826554,15,9,51,9,37
