uuid,initial number of clusters,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity,number of internal vertices in cluster graph,number of external vertices in cluster graph,number of internal edges in cluster graph,number of external edges in cluster graph,number of faces in cluster graph
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,0,0.36035546416082725,0.1480194346991783,0.12984314242616585,0.07284650918681454,3,7,13,7,11
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,1,0.2911055801053677,0.15606061498411508,0.14850230124238917,0.07982365374144645,4,7,16,7,13
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,2,0.2678908099619501,0.13203240436788152,0.1525317394190255,0.07387936843531996,5,7,19,7,15
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,3,0.2442710844652015,0.13769879846692923,0.16192096843299408,0.0928202777413028,6,6,21,6,16
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,4,0.21184477148294104,0.12593150909118325,0.17796560703991246,0.0953600305291275,5,7,19,7,15
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,5,0.22192665691793356,0.12773593338511827,0.17630951753171925,0.0905779086115685,4,8,17,8,14
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,6,0.2400982882698311,0.12478582439731038,0.1649225810235964,0.08668434525690101,3,9,15,9,13
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,7,0.23170154145305155,0.1140017414171278,0.1687136370429621,0.08227949906297227,3,8,14,8,12
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,8,0.1685970746818313,0.09124865478163029,0.15903890068302629,0.08125141092243117,2,9,12,9,11
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,9,0.20070563419765994,0.09721601655259378,0.14711530670621778,0.07552816127399294,2,8,11,8,10
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,10,0.2513339169260925,0.06688939615979324,0.13014797001181297,0.06990602610025622,2,7,10,7,9
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,11,0.17797152093985363,0.10556907093988492,0.1098691324685343,0.06552983814736152,1,7,7,7,7
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,12,0.13026046957027973,0.0780256177178371,0.08730201499830932,0.05629777864036029,1,6,6,6,6
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,13,0.18670227287701777,0.058877226310682686,0.10269363626561435,0.06070588569127887,0,7,4,7,5
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,14,0.2504576253261422,0.1171614281485693,0.10698325410229073,0.07244931050659828,0,7,4,7,5
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,15,0.3569969255750465,0.20606669929822893,0.16913487453550144,0.08818470838458546,1,6,6,6,6
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,16,0.31406558768088527,0.21982310955817955,0.1617402021602702,0.09526706477347288,1,6,6,6,6
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,17,0.3301103162173594,0.20929115082858735,0.1621784256261388,0.0970975872541558,0,7,4,7,5
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,18,0.38805705891933884,0.18558577733347678,0.2965749165492224,0.11774592518483248,1,6,6,6,6
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,19,0.3015880118739631,0.1641746850365299,0.2854869886694268,0.12360399050166661,0,6,3,6,4
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.0,0.0,20,0.4176302511963925,0.16611782761708424,0.27476618226503313,0.15358603346553776,1,5,5,5,5
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.0,0.0,0,0.5458911416261991,0.20899418016072252,0.1758275540984991,0.09695591766390242,4,6,15,6,12
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.0,0.0,1,0.2691804527294185,0.12955007332103288,0.1692577426238448,0.09439790149736248,4,6,15,6,12
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.0,0.0,2,0.28716306669986474,0.13895468898379415,0.16748702605357033,0.1051803449831051,4,6,15,6,12
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.0,0.0,3,0.2217109305282922,0.1321088673042462,0.1839466661025354,0.10452921993003988,3,6,12,6,10
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.0,0.0,4,0.3542668396537456,0.12512160452362103,0.10293127793984819,0.08677041624759195,2,6,9,6,8
AE097F3A-14FD-4735-A19B-8FD343CA3346,10,0.0,0.0,5,0.3290308161001315,0.1590942467573347,0.1072779242921044,0.08353460193278583,2,5,8,5,7
