uuid,initial number of clusters,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity,number of internal vertices in cluster graph,number of external vertices in cluster graph,number of internal edges in cluster graph,number of external edges in cluster graph,number of faces in cluster graph
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.99,0,0.8570176256378584,0.2562952889488576,0.29368937869791184,0.13792823635377208,5,5,17,5,13
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.99,1,0.573493985985026,0.17132416295625635,0.2237162426466255,0.11764587848549275,5,5,17,5,13
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.99,2,0.5394307261317102,0.18000466652095143,0.2457521852331416,0.13218200066015875,6,4,19,4,14
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.99,3,0.44146980912202116,0.15093739412873852,0.25107895655955936,0.13459411553149792,7,4,22,4,16
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.99,4,0.482957189790451,0.18381647512345278,0.2453387982414454,0.1420138894180291,8,4,25,4,18
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.99,5,0.42926368021660444,0.1536540424694291,0.24150945777370797,0.13956655251707586,7,5,23,5,17
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.99,6,0.2835858058107674,0.13426367326766694,0.24005147939697782,0.1337887125312091,7,5,23,5,17
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.99,7,0.29782246370970056,0.14260012984131668,0.22825670939425896,0.1195766463711981,8,5,26,5,19
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.99,8,0.2763534087958269,0.1445319455850869,0.34649285050821743,0.13747874512443198,9,4,28,4,20
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.99,9,0.2985297570417986,0.1516149485653823,0.44050157258075734,0.1541739487691322,10,3,30,3,21
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.99,10,0.33888517172811117,0.13690176199545886,0.42082874446095053,0.1564983925592916,10,3,30,3,21
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.99,11,0.2701874796236011,0.11367152389915296,0.4110246684393,0.14598433351361295,10,3,30,3,21
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,10,0.5,0.99,12,0.2432532441388632,0.08024260319331342,0.4234780253126167,0.14389433241096145,10,3,30,3,21
