uuid,initial number of clusters,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity,number of internal vertices in cluster graph,number of external vertices in cluster graph,number of internal edges in cluster graph,number of external edges in cluster graph,number of faces in cluster graph,average internal vertex degree in cluster graph,average external vertex degree in cluster graph
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,0,0.7881738566550104,0.22305250573557117,0.3327957425277685,0.14306705994117094,10,5,32,5,23,4.3,6.2
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,1,0.3961573203365467,0.1647773073933337,0.28478083302033796,0.12923615367976019,9,6,30,6,22,4.444444444444445,5.333333333333333
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,2,0.24774521780942874,0.12539032120595806,0.2733984099555079,0.12390067781501095,9,6,30,6,22,4.555555555555555,5.166666666666667
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,3,0.24487996980537194,0.13127592423297368,0.2803995986756103,0.11790381327304714,8,7,28,7,21,4.75,4.571428571428571
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,4,0.2874455869967253,0.12862068225096765,0.2676876866359432,0.11525076034841263,8,8,29,8,22,4.75,4.5
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,5,0.30739533423272175,0.11328383930076037,0.2641015794872623,0.12221265514265041,9,7,31,7,23,4.555555555555555,5.0
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,6,0.2754643247687464,0.11542944726504001,0.2648399007677711,0.11648236291699357,8,8,29,8,22,4.75,4.5
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,7,0.24678959902837055,0.12068540470719771,0.21208520239980821,0.1057383272276408,7,9,27,9,21,4.857142857142857,4.222222222222222
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,8,0.27846861287199987,0.11832882273342964,0.23919854121642325,0.10154627242480771,7,10,28,10,22,4.857142857142857,4.2
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,9,0.28864587613789283,0.10971018364157645,0.23269964994118286,0.09892250706113279,7,9,27,9,21,4.857142857142857,4.222222222222222
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,10,0.2865171533937141,0.10435190836941906,0.18214113329148865,0.09383925342071858,6,9,24,9,19,5.0,4.0
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,11,0.315628863083607,0.10698269608036091,0.17414203809057016,0.09308157913877843,6,9,24,9,19,4.833333333333333,4.111111111111111
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,12,0.2649720510626816,0.12330104513143172,0.20741712531692003,0.09580702369892134,7,9,27,9,21,4.714285714285714,4.333333333333333
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,13,0.2686685543022257,0.13072148959335353,0.3264342043742665,0.10469130787408172,8,8,29,8,22,4.75,4.5
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,14,0.26503895766216456,0.16588227101486072,0.33327932195284493,0.10809999577575485,9,8,32,8,24,4.666666666666667,4.75
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,15,0.2897295646437137,0.13420014497280766,0.3304461751295564,0.11417017605461892,8,9,30,9,23,4.375,4.777777777777778
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,16,0.28824965803775765,0.09971529318604674,0.31630806292501923,0.10869153068936223,7,10,28,10,22,4.571428571428571,4.4
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,17,0.3228873776328879,0.10307898193887324,0.30981654604933645,0.10770241258252901,7,10,28,10,22,4.571428571428571,4.4
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,18,0.3065327085766359,0.09601143551873943,0.2994634571776371,0.10289304305950663,7,11,29,11,23,4.571428571428571,4.363636363636363
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,19,0.25106937186588446,0.12027505126903305,0.2998849714223293,0.10442290581368056,6,12,27,12,22,4.0,4.5
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,15,0.5,0.99,20,0.32249304594383876,0.1207253103247548,0.28280552738306386,0.10534108351643702,6,11,26,11,21,4.0,4.545454545454546
AE097F3A-14FD-4735-A19B-8FD343CA3346,15,0.5,0.99,0,0.6664891698674866,0.15187284930221576,0.3458887425394275,0.11780348217911984,8,7,28,7,21,3.625,5.857142857142857
